"source","target","id","developer_comments"
"XCHAPTITLE_0022","5.食餌","XCHAPTITLE_0022",""
"XCOMMENTVIEW_0036","7月7日","XCOMMENTVIEW_0036",""
"XMESS_0000","どうだ……？","XMESS_0000","網代慎平"
"XMESS_0001","うーん……。","XMESS_0001","ウシオ"
"XMESS_0002","うん、問題あらへん。
このまま進んでも大丈夫そう。","XMESS_0002","ウシオ"
"XMESS_0003","よし、じゃあ先生たちもこっちへ。","XMESS_0003","網代慎平"
"XMESS_0004","おい、藁。
進んでもええんか？","XMESS_0004","南方ひづる（過去）"
"XMESS_0005","（やっぱり全ての言葉を伝えることは
　難しいな……）","XMESS_0005","網代慎平"
"XMESS_0006","――待って！！","XMESS_0006","ウシオ"
"XMESS_0007","えっ？","XMESS_0007","網代慎平"
"XMESS_0008","なにかがえらいスピードで、
こっちへ迫ってきとる！","XMESS_0008","ウシオ"
"XMESS_0009","まさか……この気配って！？","XMESS_0009","ウシオ"
"XMESS_0010","ハ、ハイネか！？","XMESS_0010","網代慎平"
"XMESS_0011","うん……！
さっきまでなんも気配なかったのに、
あっちゅう間に追いついてきよった！","XMESS_0011","ウシオ"
"XMESS_0012","でも、まだこっちの正確な位置までは
把握できてやんみたい。","XMESS_0012","ウシオ"
"XMESS_0013","そうか……！
なんとかやり過ごしたいな……。","XMESS_0013","網代慎平"
"XMESS_0014","先生、注意してください！
後ろからハイネが迫ってきてます！","XMESS_0014","網代慎平"
"XMESS_0015","ハイネ？
ハイネがどうかしたんか？","XMESS_0015","南方ひづる（過去）"
"XMESS_0016","ですからっ！
後ろからハイネが迫ってきてます！","XMESS_0016","網代慎平"
"XMESS_0017","うしろ……後方か？","XMESS_0017","南方ひづる（過去）"
"XMESS_0018","ハイネ、後ろ……。
ハイネが後方から来てるんか……。","XMESS_0018","南方ひづる（過去）"
"XMESS_0019","誰と話しちゃあるんじゃ。
また例の藁か？","XMESS_0019","根津銀次郎（１４年前）"
"XMESS_0020","藁が言うには、あの子が……
ハイネが迫ってきてるって……。","XMESS_0020","南方ひづる（過去）"
"XMESS_0021","ハイネ……誰や、そら？","XMESS_0021","根津銀次郎（１４年前）"
"XMESS_0022","赤い着物を着た……。
僕の足をこんな風にしたヤツです。","XMESS_0022","南方竜之介"
"XMESS_0023","赤い着物？
なんやおまえ、これ人間にやられたんか？","XMESS_0023","根津銀次郎（１４年前）"
