"source","target","id","developer_comments"
"XCHAPTITLE_0002","13.特等席","XCHAPTITLE_0002",""
"XMESS_0000","…………。","XMESS_0000","小弓場かおり"
"XMESS_0001","（……よし、追いついた！）","XMESS_0001","網代慎平"
"XMESS_0002","小弓場さん！","XMESS_0002","網代慎平"
"XMESS_0003","きゃあああっ！？","XMESS_0003","小弓場かおり"
"XMESS_0004","落ちついて！
オレだよオレ！","XMESS_0004","網代慎平"
"XMESS_0005","あ……。","XMESS_0005","小弓場かおり"
"XMESS_0006","あ……網代、くん？
ごめんなさい、私……。","XMESS_0006","小弓場かおり"
"XMESS_0007","気にしなくていいよ。
あれだけのことがあったんだからさ。","XMESS_0007","網代慎平"
"XMESS_0008","さっきは……
助けてくれてありがとう。","XMESS_0008","小弓場かおり"
"XMESS_0009","あれは小弓場さんのおかげだよ。
あの防犯グッズがなかったら
どうなってたか……。","XMESS_0009","網代慎平"
"XMESS_0010","でも、ただ隙を作って逃げただけだから、
この後も警戒が必要だよ。","XMESS_0010","網代慎平"
"XMESS_0011","…………。","XMESS_0011","小弓場かおり"
"XMESS_0012","なんで、澪ちゃんが……。","XMESS_0012","小弓場かおり"
"XMESS_0013","あ、ああ……あれは違う。
澪じゃないんだ。","XMESS_0013","網代慎平"
"XMESS_0014","え……？","XMESS_0014","小弓場かおり"
"XMESS_0015","詳しくはあとで説明するけど、
あれは澪に化けた人ならざるものなんだ。
本物の澪じゃないよ。","XMESS_0015","網代慎平"
"XMESS_0016","そ、そうなの？
でも……網代くんが言うなら、
そうなんだろうね。","XMESS_0016","小弓場かおり"
"XMESS_0017","よかった……。
ずっと頭が混乱してたの。","XMESS_0017","小弓場かおり"
"XMESS_0018","あんなに応援してくれてたのに、
なんでだろうって……。","XMESS_0018","小弓場かおり"
"XMESS_0019","そっか……。","XMESS_0019","網代慎平"
"XMESS_0020","でも、どうして！？
どうしてこんなことになったの！？","XMESS_0020","小弓場かおり"
"XMESS_0021","私はただ……
大勢の人にこの島を知ってもらいたい、
好きになってもらいたいって……。","XMESS_0021","小弓場かおり"
"XMESS_0022","その一心でやってきたのに……
それが結局大勢の人を死なせる結果に……。","XMESS_0022","小弓場かおり"
"XMESS_0023","私が……私がライブなんてしたから！","XMESS_0023","小弓場かおり"
"XMESS_0024","…………。","XMESS_0024","網代慎平"
"XMESS_0025","私……ファンや島の人たちに、
どう償えば……。","XMESS_0025","小弓場かおり"
"XMESS_0026","違う！！！！","XMESS_0026","網代慎平"
"XMESS_0027","えっ……？","XMESS_0027","小弓場かおり"
"XMESS_0028","小弓場さんは、なんも悪ない！
悪いのは、なんもかんもめちゃくちゃにした、
あの化物どもや！","XMESS_0028","網代慎平"
"XMESS_0029","でも……。","XMESS_0029","小弓場かおり"
"XMESS_0030","大好きな島のためを想ってやったことを、
誰も責めたりしない！","XMESS_0030","網代慎平"
