"source","target","id","developer_comments"
"XCHAPTITLE_0002","16.網代くんがいたから","XCHAPTITLE_0002",""
"XCOMMENTVIEW_0013","？？？","XCOMMENTVIEW_0013",""
"XMESS_0000","あの右目があれば……
確かに可能かもしれませんね。","XMESS_0000","四本腕の影（シデ）"
"XMESS_0001","時を遡ってやり直すことも……。","XMESS_0001","四本腕の影（シデ）"
"XCOMMENTVIEW_0043","7月24日","XCOMMENTVIEW_0043",""
"XCOMMENTVIEW_0044","網代　慎平","XCOMMENTVIEW_0044",""
"XMESS_0002","（あれから二日経った。
　なんとか島に来る人を阻止できないかと
　頑張ってはみたけど……）","XMESS_0002","網代慎平"
"XMESS_0003","（なにも成果が上がらないどころか、
　結局来島者は、前回よりも増えてしまった）","XMESS_0003","網代慎平"
"XMESS_0004","（そうしてなにもできないまま……
　オレは夏祭りの日を迎えたのだった）","XMESS_0004","網代慎平"
"XMESS_0005","いつも来てるところやし、
送ってくれやんでも良かったのに。","XMESS_0005","小舟澪"
"XMESS_0006","例年より祭りの観光客が多いんや。
気をつけるに越したことないやろ。","XMESS_0006","網代慎平"
"XMESS_0007","それより……ごめんな。
祭りに行くなとか言うて。","XMESS_0007","網代慎平"
"XMESS_0008","ううん、別にええよ。","XMESS_0008","小舟澪"
"XMESS_0009","お姉ちゃんがおらんのに、
私だけお祭りに行こうとは
思っとらんかったし。","XMESS_0009","小舟澪"
"XMESS_0010","それにトキコも、
「それなら家で一緒に遊ぼう」て
言うてくれたしな。","XMESS_0010","小舟澪"
"XMESS_0011","まあ、窓くんはあんまり納得いってやん
みたいやったけど。","XMESS_0011","小舟澪"
"XMESS_0012","明日になったらちゃんと話すよ。
窓、澪、それにトキちゃんにも。","XMESS_0012","網代慎平"
"XMESS_0013","約束やで。
ほな、またな。","XMESS_0013","小舟澪"
"XMESS_0014","ああ、トキちゃんと窓によろしく。","XMESS_0014","網代慎平"
"XMESS_0015","（身近な人を祭りに行かせない……
　これだけのことしかできないけど）","XMESS_0015","網代慎平"
"XMESS_0016","（澪や窓たちをあんな惨劇のさなかに
　放り込むくらいなら、
　こうした方がよっぽどマシだ）","XMESS_0016","網代慎平"
"XMESS_0017","（でも、まだ終わってない。
　今日のイベントを中止できなかった以上、
　人々の犠牲を回避するにはもう……）","XMESS_0017","網代慎平"
"XMESS_0018","（影の親玉を倒すしかない！）","XMESS_0018","網代慎平"
"XMESS_0019","（花火が上がるまでは少し時間がある。
　まだ騒ぎは起こっていないな）","XMESS_0019","網代慎平"
"XMESS_0020","ふぅ………。","XMESS_0020","網代慎平"
"XMESS_0021","（覚悟を決めてきたものの……
　武器と呼べるモンは包丁一本だけか）","XMESS_0021","網代慎平"
"XMESS_0022","（あの人間離れした身体能力を持った影相手に、
　なんとも心もとないもんやな）","XMESS_0022","網代慎平"
"XMESS_0023","（けど……どうせ死ぬにしたって、
　せめて一矢は報いたい）","XMESS_0023","網代慎平"
"XMESS_0024","（そして……次のループでは必ず！）","XMESS_0024","網代慎平"
"XMESS_0025","ぎゃああああああああ！！","XMESS_0025","ファン（女性）"
