"source","target","id","developer_comments"
"XCHAPTITLE_0002","2.澪との合流","XCHAPTITLE_0002",""
"XMESS_0000","ハァッ……、ハァッ……！","XMESS_0000","網代慎平"
"XMESS_0001","ハァッ……！","XMESS_0001","網代慎平"
"XMESS_0002","（この辺りにいるはず。
　澪、澪はどこに……！？）","XMESS_0002","網代慎平"
"XMESS_0003","慎ちゃん……？","XMESS_0003","女の子の声（小舟澪（ミオ））"
"XMESS_0004","！！","XMESS_0004","網代慎平"
"XMESS_0005","慎ちゃんッ！！","XMESS_0005","小舟澪（ミオ）"
"XMESS_0006","澪ッ！","XMESS_0006","網代慎平"
"XMESS_0007","無事で良かった！
一人で待ってたんか？","XMESS_0007","網代慎平"
"XMESS_0008","うん、参道で落ち合う言うてたから……
ずっとここで待っとった……。","XMESS_0008","小舟澪（ミオ）"
"XMESS_0009","でも、ほんまに無事で良かった。
境内の方は……。","XMESS_0009","網代慎平"
"XMESS_0010","せや、さっきのアレ！
アレって一体なんなんッ！？","XMESS_0010","小舟澪（ミオ）"
"XMESS_0011","あんなに大勢の……
大勢の島の人らが……。","XMESS_0011","小舟澪（ミオ）"
"XMESS_0012","（澪もあの光景を見たんだな……）","XMESS_0012","網代慎平"
"XMESS_0013","慎ちゃん……。
なんなん、これ……。","XMESS_0013","小舟澪（ミオ）"
"XMESS_0014","わからん……。","XMESS_0014","網代慎平"
"XMESS_0015","けど、大丈夫や。
こっから先はオレがついてる。","XMESS_0015","網代慎平"
"XMESS_0016","うん……！","XMESS_0016","小舟澪（ミオ）"
"XMESS_0017","ところで、澪……。","XMESS_0017","網代慎平"
"MSTD_0060-0","窓のことを聞く","MSTD_0060-0",""
"MSTD_0060-1","朱鷺子のことを聞く","MSTD_0060-1",""
"XMESS_0018","窓は見てへんのか？","XMESS_0018","網代慎平"
"XMESS_0019","窓くんとはすぐ合流できて、
ここまで一緒に逃げたんよ。","XMESS_0019","小舟澪（ミオ）"
"XMESS_0020","でも、はぐれたトキコんことが、
気になってたみたいで。","XMESS_0020","小舟澪（ミオ）"
"XMESS_0021","せやから、私のことはええから
トキコを探してきてって、
そう言うたんよ。","XMESS_0021","小舟澪（ミオ）"
"XMESS_0022","トキちゃんは一緒やなかったんか？","XMESS_0022","網代慎平"
"XMESS_0023","トキコは……
しばらく私の近くで声がしとったんやけど。","XMESS_0023","小舟澪（ミオ）"
"XMESS_0024","人に流されていくうち、
どこ行ったかわからんようになってしもて。","XMESS_0024","小舟澪（ミオ）"
"XMESS_0025","せやから一緒におった窓くんに、
トキコ探しに出てもろたんよ。","XMESS_0025","小舟澪（ミオ）"
"XMESS_0026","……そうか。","XMESS_0026","網代慎平"
"XMESS_0027","トキコと合流できたら連絡が来るはずやけど。
それまで、ここで待っとく？","XMESS_0027","小舟澪（ミオ）"
"XMESS_0028","――ッ！？","XMESS_0028","網代慎平"
"XMESS_0029","なんや、この感覚……！？","XMESS_0029","網代慎平"
"XMESS_0030","し、慎ちゃん！
境内の方から影が迫ってきよる！","XMESS_0030","小舟澪（ミオ）"
"XMESS_0031","（こ、ここまで広がってきてるのか！）","XMESS_0031","網代慎平"
"XMESS_0032","とにかく神社から離れるぞ！
澪、走れるか？","XMESS_0032","網代慎平"
"XMESS_0033","だ、大丈夫！","XMESS_0033","小舟澪（ミオ）"
"XMESS_0034","よし！
行くぞ……！","XMESS_0034","網代慎平"
"XMESS_0035","ハァ、ハァ……。
澪、平気か？","XMESS_0035","網代慎平"
"XMESS_0036","うん、まだ平気や。
水泳で鍛えちゃあるし。","XMESS_0036","小舟澪（ミオ）"
"XMESS_0037","慎ちゃんこそ、大丈夫なん？","XMESS_0037","小舟澪（ミオ）"
"XMESS_0038","だ、大丈夫や。","XMESS_0038","網代慎平"
"XMESS_0039","なあ……なんか変やない？","XMESS_0039","小舟澪（ミオ）"
"XMESS_0040","……ああ、静かすぎるな。","XMESS_0040","網代慎平"
"XMESS_0041","（見た目はいつも通り、人気のないの通りだ。
　けど夏祭りの日に『いつも通り』なんは不自然や）","XMESS_0041","網代慎平"
"XMESS_0042","助けてくれェッ！","XMESS_0042","地元民（男）"
"XMESS_0043","！？","XMESS_0043","網代慎平"
"XMESS_0044","影がぁ！　影が追っかけてきよるぅ！","XMESS_0044","地元民（男）"
"XMESS_0045","（こ、ここまで影が……！？）","XMESS_0045","網代慎平"
"XMESS_0046","た、助けッ――","XMESS_0046","地元民（男）"
"XMESS_0047","消えてしもた……。","XMESS_0047","小舟澪（ミオ）"
"XMESS_0048","澪、走るぞ！
ここも危険や！","XMESS_0048","網代慎平"
"XMESS_0049","わ、わかった！","XMESS_0049","小舟澪（ミオ）"
"XMESS_0050","（くそっ……どこか安全な場所は……！？）","XMESS_0050","網代慎平"
"XMESS_0051","ハァ、ハァ……。","XMESS_0051","網代慎平"
"XMESS_0052","し、慎ちゃん、どこまで行くん？","XMESS_0052","小舟澪（ミオ）"
"XMESS_0053","…………。","XMESS_0053","網代慎平"
"XMESS_0054","（……どこまで行けばいいんだ？）","XMESS_0054","網代慎平"
"XMESS_0055","（そもそもあの影から逃げるなんて、
　できるのか？）","XMESS_0055","網代慎平"
"XMESS_0056","ねえ、ねえ、いったん落ち着かん？
このあたりには影もおらんみたいやし。","XMESS_0056","小舟澪（ミオ）"
