"source","target","id","developer_comments"
"XCHAPTITLE_0002","8.港へ","XCHAPTITLE_0002",""
"XMESS_0000","慎平は、まだ私のこと疑っとるようやな。","XMESS_0000","小舟アラン（影アラン）"
"XMESS_0001","うん……残念やけど。","XMESS_0001","網代慎平"
"XMESS_0002","そうか……。","XMESS_0002","小舟アラン（影アラン）"
"XMESS_0003","慎ちゃん、なんでなん！？","XMESS_0003","小舟澪（ミオ）"
"XMESS_0004","…………。","XMESS_0004","網代慎平"
"XMESS_0005","（アランの話には、どうにも不自然な点があった）","XMESS_0005","網代慎平"
"XMESS_0006","（澪がアランを信じたい気持ちはわかるし、
　できることならオレも信じたい）","XMESS_0006","網代慎平"
"XMESS_0007","慎ちゃん！","XMESS_0007","小舟澪（ミオ）"
"XMESS_0008","（でもその選択の結果が
　澪を危険にさらす未来に繋がるのなら、
　オレは喜んで悪者になる）","XMESS_0008","網代慎平"
"XMESS_0009","（澪を守る……それが潮の願いなんや）","XMESS_0009","網代慎平"
"XMESS_0010","なんにせよ、今は島から逃げるんが最優先や。","XMESS_0010","小舟アラン（影アラン）"
"XMESS_0011","私は先に行っとくで。
慎平はその方がええやろ。","XMESS_0011","小舟アラン（影アラン）"
"XMESS_0012","なんで慎ちゃん、
お父さんのこと信じられやんの？","XMESS_0012","小舟澪（ミオ）"
"XMESS_0013","…………。","XMESS_0013","網代慎平"
"XMESS_0014","待って、お父さん！
一緒に行く！","XMESS_0014","小舟澪（ミオ）"
"XMESS_0015","おい、澪！
離れたらアカンて！","XMESS_0015","網代慎平"
"XMESS_0016","繰り返しお報せいたします。
ただいま、日都神社方面を中心に
原因不明の災害が発生しております。","XMESS_0016","島内放送"
"XMESS_0017","本土への避難を希望する方は、
到着しております臨時便フェリーに
ご乗船ください。","XMESS_0017","島内放送"
"XMESS_0018","ハァ、ハァ……。
間に合うたみたいやな。","XMESS_0018","小舟アラン（影アラン）"
"XMESS_0019","なんなんコレ？
どこにこんだけ人がおったん？","XMESS_0019","小舟澪（ミオ）"
"XMESS_0020","さっき来た時は誰もいなかったのに……。","XMESS_0020","網代慎平"
"XMESS_0021","みんな、島のあちこちで
息を殺して隠れてたんやろな。","XMESS_0021","小舟アラン（影アラン）"
"XMESS_0022","このあとも臨時便があるみたい。
このぶんなら全員脱出できそうやね。","XMESS_0022","小舟澪（ミオ）"
"XMESS_0023","…………。","XMESS_0023","網代慎平"
"XMESS_0024","澪！　慎平さん！","XMESS_0024","菱形朱鷺子（影トキコ）"
"XMESS_0025","トキコ！？","XMESS_0025","小舟澪（ミオ）"
"XMESS_0026","窓も無事やったんか！","XMESS_0026","網代慎平"
"XMESS_0027","そっちこそ無事でよかったわ！","XMESS_0027","菱形窓（影ソウ）"
"XMESS_0028","心配しとったんやで？
電話かけても繋がらんしよォ！","XMESS_0028","菱形窓（影ソウ）"
"XMESS_0029","えっ……？
ちょっと待て、電話！？","XMESS_0029","網代慎平"
"XMESS_0030","それはこっちの台詞や！
そっちだって電話には出やんし、
メールの返信もくれやんかったやろ！","XMESS_0030","網代慎平"
"XMESS_0031","はァッ！？
そんなわけあるかい！
オレらはなァ――","XMESS_0031","菱形窓（影ソウ）"
"XMESS_0032","ええからお兄ちゃんは黙っとき。
説明は私がするから。","XMESS_0032","菱形朱鷺子（影トキコ）"
"XMESS_0033","お、おお。","XMESS_0033","菱形窓（影ソウ）"
"XMESS_0034","慎平さん、電話が繋がらなかったのは、
たぶん電波障害のせいです。","XMESS_0034","菱形朱鷺子（影トキコ）"
"XMESS_0035","電波障害……？","XMESS_0035","網代慎平"
"XMESS_0036","島全体で電波の調子がおかしくなってるそうです。
他の人が言ってました。","XMESS_0036","菱形朱鷺子（影トキコ）"
"XMESS_0037","神社で起きたあの騒ぎが関係してるのかも
しれませんけど……
あくまで私個人の推測にすぎません。","XMESS_0037","菱形朱鷺子（影トキコ）"
"XMESS_0038","そうなんか……。","XMESS_0038","網代慎平"
"XMESS_0039","でも良かったなァ。
こうしてみんな無事集まれてよォ。","XMESS_0039","小舟アラン（影アラン）"
"XMESS_0040","つか、アランさんも一緒やったんやな。
もしかして慎平らが迎えに行ったんか？","XMESS_0040","菱形窓（影ソウ）"
"XMESS_0041","あ、ああ、それは……。","XMESS_0041","網代慎平"
"XMESS_0042","考えることは一緒やなァ！
オレとトキコもお母さんらが心配で、
一旦家に戻ったしよ。","XMESS_0042","菱形窓（影ソウ）"
"XMESS_0043","あれ？
じゃあ窓のお母さんや菱形先生は
どこにいるんだ？","XMESS_0043","網代慎平"
"XMESS_0044","トキコらと一緒やないの？","XMESS_0044","小舟澪（ミオ）"
"XMESS_0045","もう船に乗ってるで。
私らは慎平さんと澪が来るんを
ここで待ってたんよ。","XMESS_0045","菱形朱鷺子（影トキコ）"
"XMESS_0046","おまえらアランさんを迎えに行って
ホンマ正解やったで。","XMESS_0046","菱形窓（影ソウ）"
"XMESS_0047","どうも、この騒ぎに便乗して
空き巣を働きよる不届きモンが
おるらしいんや。","XMESS_0047","菱形窓（影ソウ）"
"XMESS_0048","空き巣？","XMESS_0048","網代慎平"
"XMESS_0049","はい。
そもそも、お祭りで人が出払う隙を狙おうと
島に来た連中もいたみたいなんです。","XMESS_0049","菱形朱鷺子（影トキコ）"
"XMESS_0050","例の化物がウロウロしとるのに泥棒とは、
呆れた根性や。","XMESS_0050","菱形窓（影ソウ）"
"XMESS_0051","ホンマやなァ。
物騒な世の中になってもうたわ。","XMESS_0051","小舟アラン（影アラン）"
"XMESS_0052","…………。","XMESS_0052","網代慎平"
"XMESS_0053","（じゃあアランが言ってたのも……？）","XMESS_0053","網代慎平"
"XMESS_0054","慎ちゃん、さっきのお父さんの話、
信じてもええんやない？","XMESS_0054","小舟澪（ミオ）"
"XMESS_0055","あ、ああ……。","XMESS_0055","網代慎平"
"XMESS_0056","大丈夫か慎平？
えらいしんどそうやで。","XMESS_0056","菱形窓（影ソウ）"
"XMESS_0057","しんどいっていうか……
今までずっと気ィ張ってきた分、
力の抜け方が半端ないわ。","XMESS_0057","網代慎平"
"XMESS_0058","みんな無事で安心したら、
どっと眠たなってきよった。","XMESS_0058","網代慎平"
"XMESS_0059","大変だったんですね。
お疲れ様です。","XMESS_0059","菱形朱鷺子（影トキコ）"
