"source","target","id","developer_comments"
"XCHAPTITLE_0002","3.親友たちの絆","XCHAPTITLE_0002",""
"XMESS_0000","待たせたな。","XMESS_0000","南方ひづる"
"XMESS_0001","あ、ひづるちゃん！
トイレでも行ってたん？","XMESS_0001","南方波稲"
"XMESS_0002","宿に荷物を置いて、すぐに出てきたはずだが。","XMESS_0002","南方ひづる"
"XMESS_0003","そうなん？
なんかえらい待った気がするけど。","XMESS_0003","南方波稲"
"XMESS_0004","……年齢が違えば体感時間も異なるということか。","XMESS_0004","南方ひづる"
"XMESS_0005","えっ、なんて？","XMESS_0005","南方波稲"
"XMESS_0006","いや、なんでもない。
それで、島のどこを案内してくれるんだ？","XMESS_0006","南方ひづる"
"XMESS_0007","う～ん、どこにしよっかな？","XMESS_0007","南方波稲"
"XMESS_0008","まさか……あれだけ主張しておいて、
なんのプランもなかったのか……？","XMESS_0008","南方ひづる"
"XMESS_0009","じゃあ、正義の味方のとこ行く？","XMESS_0009","南方波稲"
"XMESS_0010","は？","XMESS_0010","南方ひづる"
"XMESS_0011","（架空のヒーローのことか？
　いや……そんなもの、刺激にはなりそうもない）","XMESS_0011","南方ひづる"
"XMESS_0012","（まあ、今はなんだっていい。
　波稲が満足して、さっさと解放してもらえるのならば）","XMESS_0012","南方ひづる"
"XMESS_0013","ああ、それでいい。
その正義の味方とやらに会わせてくれ。","XMESS_0013","南方ひづる"
"XMESS_0014","わかった！
ほら、ついてきて！","XMESS_0014","南方波稲"
"XMESS_0015","無用に元気だな……。","XMESS_0015","南方ひづる"
"XMESS_0016","（この島も多少は変わってる、などと
　竜之介は言っていたが……）","XMESS_0016","南方ひづる"
"XMESS_0017","（なんのことはない。
　私が暮らしていた時とほぼ同じだ）","XMESS_0017","南方ひづる"
"XMESS_0018","（いつだって変わらぬ姿で出迎えてくれる故郷――）","XMESS_0018","南方ひづる"
"XMESS_0019","（まあ、安直な表現ではあるが、悪くないものだ。
　帰る場所があるというのは）","XMESS_0019","南方ひづる"
"XMESS_0020","ふんふふふ～ん♪","XMESS_0020","南方波稲"
"XMESS_0021","（……こういう、
　理不尽が形になったような存在も
　襲いかかってくるのだが）","XMESS_0021","南方ひづる"
"XMESS_0022","なあなあ、ひづるちゃん！","XMESS_0022","南方波稲"
"XMESS_0023","なんだ？","XMESS_0023","南方ひづる"
"XMESS_0024","お話を考えるんが、
ひづるちゃんのお仕事なんやろ？
どんなお話書いてるん？","XMESS_0024","南方波稲"
"XMESS_0025","どんな、と言われてもな。
質問が大雑把すぎて応えようがない。","XMESS_0025","南方ひづる"
"XMESS_0026","前にパパが見せてくれたことあるけど、
難しい字ばっかりで読めやんかった。
字ィも小さいし。","XMESS_0026","南方波稲"
"XMESS_0027","ああいうのやなくて、
絵本みたいなんも書いてくれやん？
それやったら私も読めるし！","XMESS_0027","南方波稲"
"XMESS_0028","（絵本か……。
　スランプ脱出には、いっそ全く知らないジャンルに
　飛び込んでみるのも……）","XMESS_0028","南方ひづる"
"XMESS_0029","（いや、さすがに絵本はない。
　さっそく思考が波稲に毒されているぞ）","XMESS_0029","南方ひづる"
"XMESS_0030","あっ、澪さんと朱鷺子さんだ！
お～～い！","XMESS_0030","南方波稲"
"XMESS_0031","こんにちは、波稲ちゃん。","XMESS_0031","菱形朱鷺子"
"XMESS_0032","こんにちは。
いつも元気やなァ。","XMESS_0032","小舟澪"
"XMESS_0033","そちらの方は……。","XMESS_0033","菱形朱鷺子"
"XMESS_0034","この人、ひづるちゃん！
パパのお姉ちゃんやで！","XMESS_0034","南方波稲"
"XMESS_0035","南方竜之介の姉……
南方ひづるだ。","XMESS_0035","南方ひづる"
"XMESS_0036","ああ、竜之介さんのお姉さんの！
私は小舟澪です。","XMESS_0036","小舟澪"
"XMESS_0037","菱形朱鷺子です。","XMESS_0037","菱形朱鷺子"
"XMESS_0038","（小舟に菱形……）","XMESS_0038","南方ひづる"
"XMESS_0039","ああ、洋食コフネと菱形医院の。
島にいた頃は、どちらもよく世話になったよ。","XMESS_0039","南方ひづる"
