"source","target","id","developer_comments"
"XCHAPTITLE_0002","4.タイムカプセルはどこに？","XCHAPTITLE_0002",""
"XMESS_0000","で、タイムカプセルを埋めた場所ってのは？","XMESS_0000","網代慎平（収録）"
"XMESS_0001","ああ、そのことなんやけどな。
慎平、よう聞いてや。","XMESS_0001","小舟潮"
"XMESS_0002","あ、ああ。","XMESS_0002","網代慎平（収録）"
"XMESS_0003","どこに埋めたんやっけ？","XMESS_0003","小舟潮"
"XMESS_0004","ハァ！？
ほなおまえ、一体どこ向かって
歩いとったんや！？","XMESS_0004","網代慎平（収録）"
"XMESS_0005","あはは、とりあえず歩いとったら、
何か思い出せるて思たんよ。","XMESS_0005","小舟潮"
"XMESS_0006","お姉ちゃんって、
考える前に動くもんなァ。","XMESS_0006","小舟澪"
"XMESS_0007","そんなわけで情報募集中や。
慎平、なんか覚えとらん？","XMESS_0007","小舟潮"
"XMESS_0008","うーん……？
タイムカプセルのこと自体、
忘れてたくらいやしなァ。","XMESS_0008","網代慎平（収録）"
"XMESS_0009","澪は？","XMESS_0009","小舟潮"
"XMESS_0010","お姉ちゃんと一緒に何か入れた覚えはあるけど、
それ以上は……。","XMESS_0010","小舟澪"
"XMESS_0011","かおりちゃんは？","XMESS_0011","小舟潮"
"XMESS_0012","ごめんなさい。
私、何も覚えてなくて……。","XMESS_0012","小弓場かおり"
"XMESS_0013","そうなんや？
あと聞けそうなんは……","XMESS_0013","小舟潮"
"XMESS_0014","窓とトキちゃんやな！
あの二人も、あの場におったはずや。","XMESS_0014","小舟潮"
"XMESS_0015","電話してみるか？
覚えとるか知らんけど。","XMESS_0015","網代慎平（収録）"
"XMESS_0016","せやな、かけてみよ！","XMESS_0016","小舟潮"
"XMESS_0017","…………。","XMESS_0017","小弓場かおり"
"XMESS_0018","もしもし、窓？
私や、潮や。
あんな、ちょっと聞きたいんやけど。","XMESS_0018","小舟潮"
"XMESS_0019","小学校の時、タイムカプセル埋めたやん？
あれ掘り出そか思うんやけど、
場所が思い出せやんねん。","XMESS_0019","小舟潮"
"XMESS_0020","窓はなんか覚えてやん？
うん、うん……。","XMESS_0020","小舟潮"
"XMESS_0021","…………。","XMESS_0021","小弓場かおり"
"XMESS_0022","あ、そうなん？
ほなトキちゃんも？","XMESS_0022","小舟潮"
"XMESS_0023","……うん、わかった。
ほなまたなァ。","XMESS_0023","小舟潮"
"XMESS_0024","ど……どうだった……？","XMESS_0024","小弓場かおり"
"XMESS_0025","ああ、なんも覚えてやんかったわ。
トキちゃんも場所はわからんって。","XMESS_0025","小舟潮"
"XMESS_0026","ふぅ……。","XMESS_0026","小弓場かおり"
"XMESS_0027","……どないしたらええんやろ？","XMESS_0027","小舟潮"
"XMESS_0028","私……ちょっと思い出したんやけど。
あれって確か、お姉ちゃんが
埋めよったんとちゃうかった？","XMESS_0028","小舟澪"
"XMESS_0029","……へ？","XMESS_0029","小舟潮"
"XMESS_0030","あ……そういえば。
あの時たしか小舟さんが一人で
行くって言って……。","XMESS_0030","小弓場かおり"
"XMESS_0031","ああ、思い出した！","XMESS_0031","網代慎平（収録）"
"XMESS_0032","みんなが知ってたら
誰かが掘り出してまうかもしれんって、
潮が一人で埋めに行ったよな。","XMESS_0032","網代慎平（収録）"
"XMESS_0033","…………。","XMESS_0033","小舟潮"
"XMESS_0034","そうやっけ？","XMESS_0034","小舟潮"
"XMESS_0035","ハァ、ホンマお姉ちゃんは……。","XMESS_0035","小舟澪"
"XMESS_0036","当の本人が忘れてどないすんねん？","XMESS_0036","網代慎平（収録）"
"XMESS_0037","そやなァ。
言われてみたら、
私一人で埋めたような気が……。","XMESS_0037","小舟潮"
"XMESS_0038","……あ、だんだん思い出してきた！
たしかメモがあったはずや。
埋めた場所を書き残したメモが！","XMESS_0038","小舟潮"
"XMESS_0039","さすが私や。
抜かりなしやな。","XMESS_0039","小舟潮"
"XMESS_0040","よっしゃ！
そうとわかれば、うち帰ってそのメモ探すで！","XMESS_0040","小舟潮"
"XMESS_0041","あっ、また勝手に突っ走って……！","XMESS_0041","小舟澪"
"XMESS_0042","待ってや、お姉ちゃん！","XMESS_0042","小舟澪"
"XMESS_0043","ふぅ……。","XMESS_0043","網代慎平（収録）"
"XMESS_0044","それじゃ小弓場さん。
オレらも行こか。","XMESS_0044","網代慎平（収録）"
"XMESS_0045","う、うん……。","XMESS_0045","小弓場かおり"
