"source","target","id","developer_comments"
"XCHAPTITLE_0002","2.伝えられない二人、伝える二人","XCHAPTITLE_0002",""
"XMESS_0000","澪、お待たせ。","XMESS_0000","菱形朱鷺子"
"XMESS_0001","あ、トキコ。","XMESS_0001","小舟澪"
"XMESS_0002","って、窓くんも？","XMESS_0002","小舟澪"
"XMESS_0003","よう、澪ちゃん！
ええ夜やな！","XMESS_0003","菱形窓"
"XMESS_0004","急にゴメンな。","XMESS_0004","菱形朱鷺子"
"XMESS_0005","別にええよ。
うちまで来てくれたんやし。","XMESS_0005","小舟澪"
"XMESS_0006","でも場所だけ言うてくれたら、
私がそこまで行ったのに。","XMESS_0006","小舟澪"
"XMESS_0007","呼び出したのはこっちやもん。
私が出向いてくるんが当然やろ。","XMESS_0007","菱形朱鷺子"
"XMESS_0008","でも、なんで窓くんまでおるん？","XMESS_0008","小舟澪"
"XMESS_0009","お兄ちゃん、私らの電話盗み聞きして
ついてきよったんよ。","XMESS_0009","菱形朱鷺子"
"XMESS_0010","はぁっ！？","XMESS_0010","菱形窓"
"XMESS_0011","え、そうなん？","XMESS_0011","小舟澪"
"XMESS_0012","た、たまたま聞こえただけや！
盗み聞きなんて真似、
オレがするわけあるかいな！","XMESS_0012","菱形窓"
"XMESS_0013","それにほら、夜に澪ちゃんを
出歩かせるんも危ないやろ？
オレがおった方が安心やろ思て……。","XMESS_0013","菱形窓"
"XMESS_0014","私のことは心配しやんのに、よう言うなァ。","XMESS_0014","菱形朱鷺子"
"XMESS_0015","そ、そんなことないでェッ！
ちゃんと、おまえのことも心配して――","XMESS_0015","菱形窓"
"XMESS_0016","はいはい。
お兄ちゃんはもう黙っちゃって。
話がややこしなる。","XMESS_0016","菱形朱鷺子"
"XMESS_0017","そうや、話したいことってなんなん？","XMESS_0017","小舟澪"
"XMESS_0018","あ……うん。
ちょっと歩きながら話そか。","XMESS_0018","菱形朱鷺子"
"XMESS_0019","ああ、別にええけど？","XMESS_0019","小舟澪"
"XMESS_0020","実は、慎平さんが――","XMESS_0020","菱形朱鷺子"
"XMESS_0021","あのな、澪ちゃん！！","XMESS_0021","菱形窓"
"XMESS_0022","――っ！？","XMESS_0022","小舟澪"
"XMESS_0023","悩みがあるんやったらオレが相談乗っちゃる！
せやから、なんでも言うてくれ！！","XMESS_0023","菱形窓"
"XMESS_0024","えっ、なに？
急になんなん？","XMESS_0024","小舟澪"
"XMESS_0025","お兄ちゃん……。
黙っといてって言わんかった？","XMESS_0025","菱形朱鷺子"
"XMESS_0026","すっ、すまん……つい！","XMESS_0026","菱形窓"
"XMESS_0027","悩みって言われても。
私、別になんも悩んでへんで？","XMESS_0027","小舟澪"
"XMESS_0028","…………。","XMESS_0028","菱形朱鷺子"
"XMESS_0029","あんな、今日、慎平さんに聞かれたんよ。
澪の様子がおかしいけど、
なんかあったんかって……。","XMESS_0029","菱形朱鷺子"
"XMESS_0030","えっ、慎ちゃんが？","XMESS_0030","小舟澪"
"XMESS_0031","ああ、せや。
トキコにメールあってなァ。","XMESS_0031","菱形窓"
"XMESS_0032","ちなみにお兄ちゃんがそのことを知ってるんは、
私のメールを盗み見たからなんよ。","XMESS_0032","菱形朱鷺子"
"XMESS_0033","た、たまたま見えてもただけや！
盗み見なんて真似、
オレがするわけあるかいな！","XMESS_0033","菱形窓"
"XMESS_0034","たまたまが一日に二度も起きるもんかなぁ。","XMESS_0034","菱形朱鷺子"
"XMESS_0035","…………。","XMESS_0035","小舟澪"
"XMESS_0036","（慎ちゃんがトキコに……）","XMESS_0036","小舟澪"
"XMESS_0037","（私、そんなにいつもと違って見えてたんかな）","XMESS_0037","小舟澪"
"XMESS_0038","（まあ、少なくとも……
　慎ちゃんにはそう見えてたってことか）","XMESS_0038","小舟澪"
"XMESS_0039","なぁ、澪ちゃん。
悩みっちゅうんは、
もしかして慎平のことなんか？","XMESS_0039","菱形窓"
"XMESS_0040","…………！","XMESS_0040","小舟澪"
"XMESS_0041","お兄ちゃん！！
いきなりそんなこと……。","XMESS_0041","菱形朱鷺子"
"XMESS_0042","オレはストレートしか投げられへん。
ド直球が取り柄の男や。","XMESS_0042","菱形窓"
"XMESS_0043","アホな言い訳しやんで！","XMESS_0043","菱形朱鷺子"
"XMESS_0044","ええんよ、トキコ。","XMESS_0044","小舟澪"
"XMESS_0045","澪……。","XMESS_0045","菱形朱鷺子"
"XMESS_0046","むしろ、窓くんはすごいと思うわ。","XMESS_0046","小舟澪"
"XMESS_0047","どんなに言いにくいことでも、
言うべき時に言えるんやもん。","XMESS_0047","小舟澪"
"XMESS_0048","ありがとな、澪ちゃん。","XMESS_0048","菱形窓"
"XMESS_0049","……それに、窓くんが言った通りやし。","XMESS_0049","小舟澪"
"XMESS_0050","そっか、やっぱり慎平のことやったか。","XMESS_0050","菱形窓"
"XMESS_0051","澪ちゃん、もっかい言っとくわ。
相談したいことがあったら、
どんなことでも話してや。","XMESS_0051","菱形窓"
"XMESS_0052","なんもかも全部話して、
スッキリするんもアリやと思うで？","XMESS_0052","菱形窓"
"XMESS_0053","もちろん、
慎平には絶対言わんから安心しィ。","XMESS_0053","菱形窓"
"XMESS_0054","うん……ありがとう。","XMESS_0054","小舟澪"
"XMESS_0055","もう少し時間かかりそうやね。
海岸にでも出て話そか。","XMESS_0055","菱形朱鷺子"
"XMESS_0056","おっし！
なんでも言ってェな、澪ちゃん！
ばっちり受け止めちゃるで！","XMESS_0056","菱形窓"
"XMESS_0057","うん……。","XMESS_0057","小舟澪"
"XMESS_0058","ちょっと待って。
お兄ちゃんは向こう行っといてや。","XMESS_0058","菱形朱鷺子"
"XMESS_0059","な、なんでや！？
オレかて相談のろ思て――","XMESS_0059","菱形窓"
"XMESS_0060","お願いやから！
ちょっとの間でええんよ。","XMESS_0060","菱形朱鷺子"
"XMESS_0061","あ、ああ……。","XMESS_0061","菱形窓"
"XMESS_0062","なんか窓くんに悪いわ……。","XMESS_0062","小舟澪"
"XMESS_0063","でも、この方が気ィが楽やろ？","XMESS_0063","菱形朱鷺子"
"XMESS_0064","う、うん……。","XMESS_0064","小舟澪"
"XMESS_0065","じゃあ続けよか。
話せることは全部話してみ。","XMESS_0065","菱形朱鷺子"
"XMESS_0066","トキコは……慎ちゃんが東京出る時、
お姉ちゃんと喧嘩別れになってたん
知ってるやろ？","XMESS_0066","小舟澪"
"XMESS_0067","うん、それなりにな。
喧嘩別れしたまま、
ずっと冷戦状態やったんやろ？","XMESS_0067","菱形朱鷺子"
"XMESS_0068","そうなんよ。","XMESS_0068","小舟澪"
"XMESS_0069","せっかく慎ちゃんが帰ってくんのに、
お姉ちゃん、今朝になっても
「会うたら殴る」とか言うててん。","XMESS_0069","小舟澪"
"XMESS_0070","私は二人が喧嘩する姿見たないし、
仲直りしてほしい思てたから……。","XMESS_0070","小舟澪"
"XMESS_0071","二人が楽しそうに話してるとこ見たら
心底ホッとしたし、
嬉しい気持ちになったんや。","XMESS_0071","小舟澪"
"XMESS_0072","でも、なんなんやろなァ。
嬉しい気持ちのはずやのに、
なんか……胸がざわざわすんねん。","XMESS_0072","小舟澪"
"XMESS_0073","それってたぶん……。","XMESS_0073","菱形朱鷺子"
"XMESS_0074","うん、私……お姉ちゃんに
嫉妬してるんやろな。","XMESS_0074","小舟澪"
"XMESS_0075","私は……。","XMESS_0075","小舟澪"
"XMESS_0076","私は慎ちゃんのことが……、
好きなんやと思う。","XMESS_0076","小舟澪"
"XMESS_0077","澪……自分の気持ちに、
素直になれたんやね。","XMESS_0077","菱形朱鷺子"
"XMESS_0078","そう……なんかな。","XMESS_0078","小舟澪"
"XMESS_0079","…………。","XMESS_0079","菱形窓"
"XMESS_0080","そ、窓くん！？","XMESS_0080","小舟澪"
"XMESS_0081","お兄ちゃん……！
今の話、聞いとったん！？","XMESS_0081","菱形朱鷺子"
"XMESS_0082","悪い……喉渇いたやろ思て、
飲み物買うてきたんやけど。","XMESS_0082","菱形窓"
"XMESS_0083","えらいタイミングで、
帰ってきてしもたみたいやな。","XMESS_0083","菱形窓"
"XMESS_0084","せやから向こう行っといてって、
言うたのに……。","XMESS_0084","菱形朱鷺子"
"XMESS_0085","それよか……
さっきの話、ホンマなんか？","XMESS_0085","菱形窓"
"XMESS_0086","うん……。","XMESS_0086","小舟澪"
