"source","target","id","developer_comments"
"XCHAPTITLE_0002","8.二人が会える場所","XCHAPTITLE_0002",""
"XMESS_0000","（また……ここへ来てしもた）","XMESS_0000","網代慎平（収録）"
"XMESS_0001","それにしても……なんなんかなコレ？","XMESS_0001","網代慎平（収録）"
"XMESS_0002","この浜へ来るといろんな感情が、
交互に押し寄せてきよる。","XMESS_0002","網代慎平（収録）"
"XMESS_0003","なんとなく怖い気ィもするけど……。","XMESS_0003","小舟潮"
"XMESS_0004","なんもかんも、こっから始まったような……
そんな懐かしい感じもする。","XMESS_0004","小舟潮"
"XMESS_0005","ああ……。
不思議な場所やな、ここは。","XMESS_0005","網代慎平（収録）"
"XMESS_0006","慎平、やっぱり来てくれた。","XMESS_0006","小舟潮"
"XMESS_0007","おまえがここで待ってる。
そんな気がしたからな。","XMESS_0007","網代慎平（収録）"
"XMESS_0008","ふふ、なんなんやろなァ、この感じ？","XMESS_0008","小舟潮"
"XMESS_0009","さあな。
オレにもようわからん。","XMESS_0009","網代慎平（収録）"
"XMESS_0010","そっか……。
まあ、なんでもええわ。","XMESS_0010","小舟潮"
"XMESS_0011","最初はちょっと不安やったけど、
だんだん慣れてきたし……。","XMESS_0011","小舟潮"
"XMESS_0012","でも、あの話はまだ納得してやんで？","XMESS_0012","小舟潮"
"XMESS_0013","…………。","XMESS_0013","網代慎平（収録）"
"XMESS_0014","なんで、そないすぐ東京に帰る必要があるん？","XMESS_0014","小舟潮"
"XMESS_0015","……ごめん。","XMESS_0015","網代慎平（収録）"
"XMESS_0016","夏休みの間くらい、
こっちにいてくれる思てたんや。","XMESS_0016","小舟潮"
"XMESS_0017","もちろん、そんなもん
私の勝手な思い込みやったって、
わかっちゃあるけど。","XMESS_0017","小舟潮"
"XMESS_0018","でも……慎平と、
もっとたくさん過ごせるて……
楽しみにしとったから……。","XMESS_0018","小舟潮"
"XMESS_0019","それやのに、
そないすぐに帰ってまうやなんて。
慎平は薄情モンや。","XMESS_0019","小舟潮"
"XMESS_0020","ほんまにごめん。
でも、これでも結構都合つけたんやで。","XMESS_0020","網代慎平（収録）"
"XMESS_0021","バイトもあるし、
夏の間にやらなアカン課題とかもあんねん。","XMESS_0021","網代慎平（収録）"
"XMESS_0022","学校始まったら試験とか研修が多なるから、
その準備もしとかんとアカンし……。","XMESS_0022","網代慎平（収録）"
"XMESS_0023","……そんなに大変なん？","XMESS_0023","小舟潮"
"XMESS_0024","ああ、だから今回の帰省では、
そんなに長居できやんねん。","XMESS_0024","網代慎平（収録）"
"XMESS_0025","わかった。
結局、慎平はもう島のことより
東京での生活の方が大事なんやな。","XMESS_0025","小舟潮"
"XMESS_0026","なんでそうなんねん。","XMESS_0026","網代慎平（収録）"
"XMESS_0027","勝手にしたらええやん。
慎平はもう東京の人間なんやし。","XMESS_0027","小舟潮"
"XMESS_0028","島にいる私の気持ちやて、
どうでもええんや。","XMESS_0028","小舟潮"
"XMESS_0029","潮……。","XMESS_0029","網代慎平（収録）"
"XMESS_0030","ホンマにもうええから。
気ィつけて東京帰ってや。","XMESS_0030","小舟潮"
"XMESS_0031","…………。","XMESS_0031","網代慎平（収録）"
"XMESS_0032","（自分でもよくわかってない……）","XMESS_0032","網代慎平（収録）"
"XMESS_0033","（でもこのオレの中にあるモヤモヤした
　気持ちを伝えておかないと、
　あとですごく後悔するような気がする……）","XMESS_0033","網代慎平（収録）"
"XMESS_0034","あのな、潮……。","XMESS_0034","網代慎平（収録）"
"XMESS_0035","ん、なんなん？","XMESS_0035","小舟潮"
"XMESS_0036","オレがなんで東京に行ったんか……その理由なんやけど。
なんて言うか、このままやとアカン……
そう思ったからなんや。","XMESS_0036","網代慎平（収録）"
"XMESS_0037","どういうこと？","XMESS_0037","小舟潮"
"XMESS_0038","うーん、自分でもなんて説明したらええか、
わからんのやけど……。","XMESS_0038","網代慎平（収録）"
"XMESS_0039","慎平本人が説明できやんこと、
私がわかるわけないやん。","XMESS_0039","小舟潮"
"XMESS_0040","あ～……なんて言うたらええんやろ……。","XMESS_0040","網代慎平（収録）"
"XMESS_0041","（フカンだ。
　こういう時こそ自分をフカンしろ）","XMESS_0041","網代慎平（収録）"
"XMESS_0042","（東京に行きたかった……
　いや、この島を出たかった理由）","XMESS_0042","網代慎平（収録）"
"XMESS_0043","（そう、それは……）","XMESS_0043","網代慎平（収録）"
"XMESS_0044","おまえに置いて行かれる、そんな気がしたからや……。","XMESS_0044","網代慎平（収録）"
"XMESS_0045","はァ？　私はどこにも行くつもりないで？","XMESS_0045","小舟潮"
"XMESS_0046","いや、そういう意味やないねん！
なんて言うか、その……。","XMESS_0046","網代慎平（収録）"
"XMESS_0047","おまえって、後先考えず行動するタイプやろ？","XMESS_0047","網代慎平（収録）"
"XMESS_0048","た、たまにそうなってまうこともあるけどな。
でも、いつもってワケやないやろ？","XMESS_0048","小舟潮"
"XMESS_0049","（「たまに」ではないな……）","XMESS_0049","網代慎平（収録）"
"XMESS_0050","それで……？","XMESS_0050","小舟潮"
"XMESS_0051","なんで私が後先考えんと行動するタイプやったら、
慎平が東京行くことになるん？","XMESS_0051","小舟潮"
"XMESS_0052","うまく言えやんけど……
不安になってしもたんやと思う。","XMESS_0052","網代慎平（収録）"
"XMESS_0053","えっ……なんで？","XMESS_0053","小舟潮"
