"source","target","id","developer_comments"
"XCHAPTITLE_0013","5.注意喚起","XCHAPTITLE_0013",""
"XCOMMENTVIEW_0027","7月23日","XCOMMENTVIEW_0027",""
"XMESS_0000","ここまで来たら、
コフネまでもうすぐやなァ。","XMESS_0000","凸村哲"
"XMESS_0001","あの……どこまで着いてくるつもりですか？","XMESS_0001","網代慎平"
"XMESS_0002","そ、そらぁ、
慎平くんを一人にはできやんしよォ。","XMESS_0002","凸村哲"
"XMESS_0003","（酒の匂いをまき散らしながら言われてもなぁ）","XMESS_0003","網代慎平"
"XMESS_0004","ん？　どないしたん？","XMESS_0004","凸村哲"
"XMESS_0005","（まあ、いいか）","XMESS_0005","網代慎平"
"XMESS_0006","凸村さん、せっかくですから、
今後の事について相談しておきましょう。","XMESS_0006","網代慎平"
"XMESS_0007","今後の事て……？","XMESS_0007","凸村哲"
"XMESS_0008","明日、応援の刑事さんが来るんですよね。
本土の人たちにはどう説明したんですか？","XMESS_0008","網代慎平"
"XMESS_0009","ああ、それはやなァ……。","XMESS_0009","凸村哲"
"XMESS_0010","それは……。","XMESS_0010","凸村哲"
"XMESS_0011","アカン、思い出せやん。
オレ、なんちゅうて報告したんやったっけ？
何かいろいろ言うた覚えはあるんやけど。","XMESS_0011","凸村哲"
"XMESS_0012","ま、まぁ、いずれにせよ、
この島が危険な状況なのは事実なんですから、
なんとか調査して貰うしかないでしょう。","XMESS_0012","網代慎平"
"XMESS_0013","せやな。
うん、その通りやで！","XMESS_0013","凸村哲"
"XMESS_0014","（とはいっても……、
　盗撮したミオ――影のミオの映像を、
　本土の刑事に見せるのは避けたい）","XMESS_0014","網代慎平"
"XMESS_0015","（凸村さんに見せた時も、
　はじめは悪ふざけだと勘違いされたし）","XMESS_0015","網代慎平"
"XMESS_0016","（下手すれば、澪を余計なゴタゴタに
　巻き込んでしまうだけだ）","XMESS_0016","網代慎平"
"XMESS_0017","後は……祭りの事も心配です。","XMESS_0017","網代慎平"
"XMESS_0018","祭り……？
ああ、明日の日都夏祭りか。","XMESS_0018","凸村哲"
"XMESS_0019","祭りの日は本土からの観光客も増えて
島がごった返しますよね。
もし、そんな中で騒ぎが起こったら――。","XMESS_0019","網代慎平"
"XMESS_0020","ん、まぁ……それについては、
一応オレの方でも手ェ打っといた。","XMESS_0020","凸村哲"
"XMESS_0021","えっ、凸村さんが……？","XMESS_0021","網代慎平"
"XMESS_0022","慎平くんから例の影の話聞いた後、
昼間のうちに各地区の地区長や責任者の人らに、
注意喚起だけはしといたんや。","XMESS_0022","凸村哲"
"XMESS_0023","変なヤツが目撃されとるから、
あんま無駄に外へ出歩かんようにってよォ。","XMESS_0023","凸村哲"
"XMESS_0024","そない言うても、みんな楽しみにしとった祭りや。
どこまで守ってもらえるか、わからんけどな。
防犯意識をもって貰うだけでも違うやろ。","XMESS_0024","凸村哲"
"XMESS_0025","…………。","XMESS_0025","網代慎平"
"XMESS_0026","なんや、その顔は。","XMESS_0026","凸村哲"
"XMESS_0027","えっ？　い、いえ……！","XMESS_0027","網代慎平"
"XMESS_0028","（まさか凸村さんが、
　ここまでちゃんと仕事してたとは……）","XMESS_0028","網代慎平"
"XMESS_0029","あっ……もしかして、
昼に港へ来るのが遅くなったのは――","XMESS_0029","網代慎平"
"XMESS_0030","ああ、さっき言うた注意喚起の連絡が、
思いの外、長引いてしもてな。","XMESS_0030","凸村哲"
"XMESS_0031","結構大変やったけど、
伝え漏らすわけにもいかんし。","XMESS_0031","凸村哲"
"XMESS_0032","オレはこの島の駐在で<color=#GF_TIPS_097>正義の味方</color>、
島のみんなを守るんがオレの仕事や！","XMESS_0032","凸村哲"
"XMESS_0033","凸村さん……。","XMESS_0033","網代慎平"
"MSTD_0118-0","「本当に正義の味方みたいだ」","MSTD_0118-0",""
"MSTD_0118-1","「凸村さんのこと誤解してたかも」","MSTD_0118-1",""
"XMESS_0034","なんだか、今の凸村さん、
本当に正義の味方みたいだ。","XMESS_0034","網代慎平"
"XMESS_0035","あァ！？
ほんまにってどういうこっちゃ？","XMESS_0035","凸村哲"
"XMESS_0036","ほら、日頃がアレですし。","XMESS_0036","網代慎平"
"XMESS_0037","失礼なこと言うなァ。
まあ、否定はせんけど。","XMESS_0037","凸村哲"
"XMESS_0038","オレ、凸村さんのこと誤解してたかも。
意外としっかりしてるんですね。","XMESS_0038","網代慎平"
"XMESS_0039","意外とって……
慎平くん、オレのことどんな風に
思っとったん？","XMESS_0039","凸村哲"
"XMESS_0040","なんか傷ついてまうわァ。","XMESS_0040","凸村哲"
"XMESS_0041","（この人がどこまで頼りになるか、
　正直よくわからないけど……）","XMESS_0041","網代慎平"
"XMESS_0042","（とにかくオレの話を信じてくれている）","XMESS_0042","網代慎平"
"XMESS_0043","（その事だけでも嬉しいし……
　心強くもある）","XMESS_0043","網代慎平"
"XMESS_0044","なんや？　今の光。","XMESS_0044","凸村哲"
"XMESS_0045","…………。","XMESS_0045","小舟澪（ミオ）"
"XMESS_0046","澪ちゃん？
なしてこんなとこに……。","XMESS_0046","凸村哲"
"XMESS_0047","凸村さん、近づかないで！","XMESS_0047","網代慎平"
"XMESS_0048","？？　血相変えてどうしたん。","XMESS_0048","凸村哲"
"XMESS_0049","たぶんこいつは澪じゃありません……。","XMESS_0049","網代慎平"
"XMESS_0050","何言ってんの。
どこからどう見ても澪ちゃんやん。","XMESS_0050","凸村哲"
"XMESS_0051","いい加減、酔いを覚ましてください！","XMESS_0051","網代慎平"
"XMESS_0052","トキちゃんとこに行った後、
制服に着替えて、先回りして――
そんなことできるはずないでしょ！","XMESS_0052","網代慎平"
"XMESS_0053","確かに変やな……。","XMESS_0053","凸村哲"
"XMESS_0054","えっ、ちょっと待たんかい。
ほな、この澪ちゃんは……。","XMESS_0054","凸村哲"
"XMESS_0055","オレの家の前で包丁を持ってたミオですよ。","XMESS_0055","網代慎平"
"XMESS_0056","コ、コイツが……！？","XMESS_0056","凸村哲"
