"source","target","id","developer_comments"
"XCOMMENTVIEW_0013","7月22日","XCOMMENTVIEW_0013",""
"XCHAPTITLE_0036","1.窓に電話","XCHAPTITLE_0036",""
"XMESS_0000","（まずは窓に連絡しよう）","XMESS_0000","網代慎平"
"XMESS_0001","（これまでに起きたことを把握してもらうため
　潮の記憶を見てもらわんと……！）","XMESS_0001","網代慎平"
"XMESS_0002","おう、慎平！　どないした？
あとで電話する言うてたのに気ィ早いな。","XMESS_0002","菱形窓"
"XMESS_0003","あぁ、悪い。","XMESS_0003","網代慎平"
"XMESS_0004","いや、かまわんよ。
オレも早よ話したかったんやさけ。","XMESS_0004","菱形窓"
"XMESS_0005","あんな、慎平。
実は……潮のことなんやけど……。","XMESS_0005","菱形窓"
"XMESS_0006","吉川線やな。","XMESS_0006","網代慎平"
"XMESS_0007","……なッ！？
何で知ってんねん！？","XMESS_0007","菱形窓"
"XMESS_0008","そのことも含めて……頼みたいことがあんねん。
おまえの力を借してほしいんや。","XMESS_0008","網代慎平"
"XMESS_0009","これから日都ヶ島小中学校の体育館に来てくれ。
詳しいことはそこで伝えるわ。","XMESS_0009","網代慎平"
"XMESS_0010","はァ……！？
何やまったく意味分からんわ。
急に学校ら来いて……。","XMESS_0010","菱形窓"
"XMESS_0011","頼む、窓ッ！
大事な話なんや！","XMESS_0011","網代慎平"
"XMESS_0012","…………。","XMESS_0012","菱形窓"
"XMESS_0013","……分かった、行っちゃらァ。","XMESS_0013","菱形窓"
"XMESS_0014","い……いいのか？","XMESS_0014","網代慎平"
"XMESS_0015","おまえんことやさけ、何か理由あんねやろ。
電話じゃよう言えやんのやろ？
ワケは、学校で聞くわ。","XMESS_0015","菱形窓"
"XMESS_0016","ありがとう……。","XMESS_0016","網代慎平"
"XMESS_0017","それと、トキちゃん近くにいてるか？
ちょっと代わってくれ。","XMESS_0017","網代慎平"
"XMESS_0018","トキコにか？","XMESS_0018","菱形窓"
"XMESS_0019","ああ、トキちゃんも学校まで
来てほしいんや。","XMESS_0019","網代慎平"
"XMESS_0020","そうか、
ちょっと待っとけ。","XMESS_0020","菱形窓"
"XMESS_0021","おーいトキコー！
慎平が話あるらしでー！","XMESS_0021","菱形窓"
"XMESS_0022","（この時点でトキちゃんは、
　ハイネに協力している）","XMESS_0022","網代慎平"
"XMESS_0023","（でもヒルコ洞での記憶を見せて、
　自分がハイネたちに裏切られることを知れば、
　仲間になってくれるはずだ）","XMESS_0023","網代慎平"
"XMESS_0024","（ハイネの本当の目的は知らないとしても、
　敵の内情について話が聞けるかもしれない）","XMESS_0024","網代慎平"
"XMESS_0025","……慎ちゃん。","XMESS_0025","小舟澪"
"XMESS_0026","ん？","XMESS_0026","網代慎平"
"XMESS_0027","電話、代わって。
私がトキコと話す。","XMESS_0027","小舟澪"
"XMESS_0028","いや、ダメだ。","XMESS_0028","網代慎平"
"XMESS_0029","何でなん？","XMESS_0029","小舟澪"
"XMESS_0030","今のトキちゃんはまだ何も知らん。
記憶を共有するまで、
伝える情報は最低限に留めときたいんや。","XMESS_0030","網代慎平"
"XMESS_0031","言いたいこともあるやろうけど、
今は堪えとってくれ。","XMESS_0031","網代慎平"
"XMESS_0032","…………。","XMESS_0032","小舟澪"
"XMESS_0033","すまん、トキコおらんみたいや。","XMESS_0033","菱形窓"
"XMESS_0034","おっかしのォ？
さっき風呂出たあと部屋におった
思たんやけど。","XMESS_0034","菱形窓"
"XMESS_0035","それやったら、
トキちゃんにはおまえから
伝えといてくれ。","XMESS_0035","網代慎平"
"XMESS_0036","ああ、ええで。
あとで言うといちゃるわ。","XMESS_0036","菱形窓"
