"source","target","id","developer_comments"
"XCHAPTITLE_0002","8.ランチタイム①","XCHAPTITLE_0002",""
"XMESS_0000","潮ちゃん亡うなってまだ二日やろォ。
しばらく休んでもええのによォ～～ッ。","XMESS_0000","常連客（中年男性）"
"XMESS_0001","いえいえ……そういうわけにはいきません！
どんな時でも生きている以上腹は減りますから。","XMESS_0001","小舟アラン"
"XMESS_0002","レストランちゅうのは、
いっつも変わらずそこにないとあきません……！！","XMESS_0002","小舟アラン"
"XMESS_0003","大事なんは日常ですわ。
お客さんにとっても、私ら家族にとってもね…………。","XMESS_0003","小舟アラン"
"XMESS_0004","ううっ……！！
確かに今日も美味いわ……！！","XMESS_0004","常連客（中年男性）"
"XMESS_0005","（日常……。
　アランが守ろうとしているのは
　いつも通りの「日常」）","XMESS_0005","網代慎平"
"XMESS_0006","（でも……明日の９時――
　あとほんの数十時間で、
　日都ヶ島の日常は真っ黒な影に飲み込まれる……）","XMESS_0006","網代慎平"
"XMESS_0007","（そんなことさせてたまるか……！！
　もう……二度と！！）","XMESS_0007","網代慎平"
"XMESS_0008","消えたって……。
小早川さんとこ一家全員がですかっ！？","XMESS_0008","小舟澪"
"XMESS_0009","小早川さん、昨日も私に声かけてくれたのに……。","XMESS_0009","小舟アラン"
"XMESS_0010","まァまだ詳しい事は言えませんけど、
もうすぐ本土から刑事が来ますわ！","XMESS_0010","凸村哲"
"XMESS_0011","（影を駆除していけば、
　行方不明者はこれからどんどん増えるだろう）","XMESS_0011","網代慎平"
"XMESS_0012","（それだけ影が増えているということでもあるんだ）","XMESS_0012","網代慎平"
"XMESS_0013","せや！
慎平くんに渡しとかなあかんモンあんねん！","XMESS_0013","凸村哲"
"XMESS_0014","！！","XMESS_0014","網代慎平"
"XMESS_0015","まさかこれ、お姉ちゃんの携帯！？","XMESS_0015","小舟澪"
"XMESS_0016","潮ちゃんなァ、
亡くなる前日にオレんとこ来てよォ。
預かっといてくれってソレ……置いてったんや。","XMESS_0016","凸村哲"
"XMESS_0017","「もし私に何かあったら慎平くんに渡して欲しい」ってな。","XMESS_0017","凸村哲"
"XMESS_0018","（そういえば、潮は何を考えてこれを……。
　まさか……この中に重要な情報が入ってるのか！？）","XMESS_0018","網代慎平"
"XMESS_0019","澪、パスワードわかる？","XMESS_0019","網代慎平"
"XMESS_0020","お姉ちゃんの誕生日ちゃうかな。","XMESS_0020","小舟澪"
"XMESS_0021","いや……開かない。","XMESS_0021","網代慎平"
"XMESS_0022","（やはりというか……
　前回のループでは色々試したが解けなかった）","XMESS_0022","網代慎平"
"XMESS_0023","パスワード変えたんかな……？","XMESS_0023","小舟澪"
"XMESS_0024","うーん……。","XMESS_0024","網代慎平"
"XMESS_0025","（意図的に変更されている……）","XMESS_0025","網代慎平"
"XMESS_0026","（４ケタの数字の組み合わせは
　１０の４乗で１万通りか……。
　とても今日明日では解けない……）","XMESS_0026","網代慎平"
"XMESS_0027","（まてよ……！
　あいつ……潮ならパスワード知ってるんじゃ……？）","XMESS_0027","網代慎平"
"XMESS_0028","（よし……
　これは後であいつに見せてみるとして……）","XMESS_0028","網代慎平"
"XCHAPTITLE_0147","19.ランチタイム②","XCHAPTITLE_0147",""
"XCOMMENTVIEW_0161","7月23日","XCOMMENTVIEW_0161",""
"XMESS_0029","あっ！
お帰り慎ちゃん！","XMESS_0029","小舟澪"
"XMESS_0030","どうやった？
しおりちゃん……。","XMESS_0030","小舟澪"
"XMESS_0031","う……うん……。","XMESS_0031","網代慎平"
"XMESS_0032","（どう話したらいいものか……
　すでに影に入れ替わってましたと
　言うわけにも……）","XMESS_0032","網代慎平"
"XMESS_0033","いやァ～～～ッ、
あっついあっつい！！","XMESS_0033","凸村哲"
"XMESS_0034","いらっしゃいませー。","XMESS_0034","小舟澪"
"XMESS_0035","（凸村さん……。
　小早川家の確認に行ってから
　ここに来たってことだよな）","XMESS_0035","網代慎平"
"XMESS_0036","あっ。","XMESS_0036","凸村哲"
"XMESS_0037","コラ慎平くんっ！
おまえ何や、昨日の通報ウソやんけ！！
どこで乱闘ら――","XMESS_0037","凸村哲"
"XMESS_0038","いつものＢランチ
エビフライ追加でライス中盛りね！","XMESS_0038","網代慎平"
"XMESS_0039","……よ、ようわかっとるやんけェ……。","XMESS_0039","凸村哲"
"XMESS_0040","――えっ、消えたって……。
小早川さんとこ一家全員がですかっ！！？","XMESS_0040","小舟澪"
"XMESS_0041","まァな……。","XMESS_0041","凸村哲"
"XMESS_0042","ホンマなん、慎ちゃん！！","XMESS_0042","小舟澪"
"XMESS_0043","ああ……。","XMESS_0043","網代慎平"
"XMESS_0044","おまえも汐見さんと中入ったらしなァ？","XMESS_0044","凸村哲"
"XMESS_0045","あ……ハイ。","XMESS_0045","網代慎平"
"XMESS_0046","後で話聞かせてや。","XMESS_0046","凸村哲"
"XMESS_0047","そんな……。
小早川さん、昨日も私に
声かけてくれたのに……。","XMESS_0047","小舟アラン"
"XMESS_0048","ですよねェ～～。
まァ、まだ詳しい事は言えませんけど
もうすぐ本土から刑事が来ますわ！","XMESS_0048","凸村哲"
"XMESS_0049","（凸村さんの対応が違う……）","XMESS_0049","網代慎平"
"XMESS_0050","（よかった……本物の凸村さんが
　影に殺されるのを防いだからだろう。
　こっちが本物なんだ！）","XMESS_0050","網代慎平"
"XMESS_0051","（頼りなく見えても一応警官だ。
　小早川しおりの正体が何かわからないなら、
　ここは警察の力を頼ることも……）","XMESS_0051","網代慎平"
"XMESS_0052","あのっ……！","XMESS_0052","網代慎平"
"XMESS_0053","せや！","XMESS_0053","凸村哲"
"XMESS_0054","（おっと、被ってしまった。
　どうしよう）","XMESS_0054","網代慎平"
"MSTD_0257-0","「相談したい事があるんですけど」","MSTD_0257-0",""
"MSTD_0257-1","「時間を作って欲しいんですけど」","MSTD_0257-1",""
"MSTD_0257-2","「凸村さんがお先にどうぞ」","MSTD_0257-2",""
"XMESS_0055","ちょっと相談したい事があるんですけど……。","XMESS_0055","網代慎平"
"XMESS_0056","どないしたん、改まって。","XMESS_0056","凸村哲"
"XMESS_0057","ちょっと時間を作って欲しいんですけど……。","XMESS_0057","網代慎平"
"XMESS_0058","別にええけど……でも東京でヤバイ連中と
関わってもうたとか、
そないな話やったらまた今度にしてや。","XMESS_0058","凸村哲"
"XMESS_0059","んなわけないでしょうが！
……ただ、ちょっと相談したい事があって。","XMESS_0059","網代慎平"
"XMESS_0060","ふ～ん、どないな話なん？","XMESS_0060","凸村哲"
"XMESS_0061","凸村さんがお先にどうぞ。","XMESS_0061","網代慎平"
"XMESS_0062","ああ、ええんか？
んじゃ……。","XMESS_0062","凸村哲"
"XMESS_0063","おまえに渡しとかなあかんモンがあんねん！
ホレ！","XMESS_0063","凸村哲"
"XMESS_0064","<color=#GF_KEY_USI_SMARTPHONE>スマホ</color>……？","XMESS_0064","網代慎平"
"XMESS_0065","あっ！！
まさかこれっ…お姉ちゃんの！？","XMESS_0065","小舟澪"
"XMESS_0066","…………！","XMESS_0066","網代慎平"
"XMESS_0067","潮ちゃんなァ……
亡くなる前日にオレんとこ来てよォ……。
預かっといてくれってソレ……置いてったんや。","XMESS_0067","凸村哲"
"XMESS_0068","「もし私に何かあったら
　慎平くんに渡して欲しい」ってな……！！","XMESS_0068","凸村哲"
"XMESS_0069","潮が……これをオレに……！？","XMESS_0069","網代慎平"
"XMESS_0070","まるでよォ……分かってたみたいやろ？
潮ちゃん……。
自分に何が起きるか……。","XMESS_0070","凸村哲"
"XMESS_0071","…………。","XMESS_0071","網代慎平"
"XMESS_0072","（潮、おまえは何を知っていて、
　何を考えていたんだ……）","XMESS_0072","網代慎平"
"XMESS_0073","（色々ありすぎて、
　思考がこんがらがりそうだ……）","XMESS_0073","網代慎平"
"XCOMMENTVIEW_0340","7月23日","XCOMMENTVIEW_0340",""
"XMESS_0074","（７月２３日――
　葬儀の翌日、アランはもう店を開けた）","XMESS_0074","網代慎平"
"XMESS_0075","（オレは澪と一緒に店を手伝うことにした）","XMESS_0075","網代慎平"
"XMESS_0076","（喪失感を紛らわせるには体を動かすのが一番だ。
　アランや澪もきっとそう思っていたんだと思う）","XMESS_0076","網代慎平"
"XMESS_0077","（幸いなことに、
　この日のランチタイムは大繁盛だった）","XMESS_0077","網代慎平"
"XMESS_0078","アラン、注文。
Ａランチひとつ、Ｂランチふたつ。","XMESS_0078","網代慎平"
"XMESS_0079","はいよォ！","XMESS_0079","小舟アラン"
"XMESS_0080","慎平くん、慎平くん！
ちょっと！","XMESS_0080","中村"
"XMESS_0081","はい、なにか追加で注文ですか？
お酒なら、ほどほどにしたほうがいいですよ？","XMESS_0081","網代慎平"
"XMESS_0082","いやいや、違うて！
捜してる人見つかったんかァ？","XMESS_0082","中村"
"XMESS_0083","え？
捜してる人……？","XMESS_0083","網代慎平"
"XMESS_0084","おまん今朝会うた時、言うてたいしょ！！","XMESS_0084","中村"
"XMESS_0085","ホレ！！
眼鏡かけててェ～巨乳の女探してるて！！","XMESS_0085","中村"
"XMESS_0086","はァッ！？","XMESS_0086","網代慎平"
"XMESS_0087","（そんなことを話した覚えはないし、
　そもそも中村さんとは会ってもいないぞ？）","XMESS_0087","網代慎平"
"XMESS_0088","それほんまにオレでした？
昼間っから飲みすぎですよ中村さん！","XMESS_0088","網代慎平"
"XMESS_0089","あれェ～～～！？","XMESS_0089","中村"
"XMESS_0090","いらっしゃいませーっ！","XMESS_0090","網代慎平"
"XMESS_0091","いやァ～～～～ッあっついあっつい！！
いつもの頼むわ。","XMESS_0091","凸村哲"
"XMESS_0092","えっ？","XMESS_0092","網代慎平"
"XMESS_0093","さてと……フフヒッ。","XMESS_0093","凸村哲"
"XMESS_0094","あの……いつものって……？","XMESS_0094","網代慎平"
"XMESS_0095","ん！？　うわおっ！！
なんや！！　慎平くんやんか！","XMESS_0095","凸村哲"
"XMESS_0096","……潮ちゃんのこと……何ちゅうたらええか……。","XMESS_0096","凸村哲"
"XMESS_0097","……そんなん、エロサイト見ながら
言われても……。","XMESS_0097","網代慎平"
"XMESS_0098","す、すまん……。日課でつい……。","XMESS_0098","凸村哲"
"XMESS_0099","警官の日課がそれですかっ？","XMESS_0099","網代慎平"
"XMESS_0100","（この人は<color=#GF_TIPS_012>凸村哲</color>。小舟家の親戚であり、
　島の駐在所に住む警察官……）","XMESS_0100","網代慎平"
"XMESS_0101","（……らしいけど、この様子を見てると
　なんとも言えない気分になる）","XMESS_0101","網代慎平"
"XMESS_0102","あ、哲さんいらっしゃい～～っ。","XMESS_0102","小舟澪"
"XMESS_0103","澪ちゃん！
今日もカワイイでェ～～～～ッ。","XMESS_0103","凸村哲"
"XMESS_0104","（エロ警官……）","XMESS_0104","網代慎平"
"XMESS_0105","いつものＢランチ、
エビフライ追加でライス中盛りね！","XMESS_0105","小舟澪"
"XMESS_0106","おう、よろしく！
慎平くん、今のがオレの『いつもの』や。
よう覚えとくんやで！","XMESS_0106","凸村哲"
"XMESS_0107","はあ……。","XMESS_0107","網代慎平"
"XMESS_0108","哲さん、今朝はどないしたんですか？
モーニング食べに来んかったですね！","XMESS_0108","小舟澪"
"XMESS_0109","せやねん……ちょっと聞いてくれる！？
えらい大変やったんやでェ！","XMESS_0109","凸村哲"
"XMESS_0110","実はなァ……小早川さんとこ、
一家全員消えてしもてん。","XMESS_0110","凸村哲"
"XMESS_0111","え……。","XMESS_0111","小舟澪"
"XMESS_0112","消えた！？","XMESS_0112","網代慎平"
"XMESS_0113","<color=#GF_TIPS_087>神かくし</color>みたいになァ……。
どや！！　大事件やろォ？","XMESS_0113","凸村哲"
"XMESS_0114","ちょっと待ってください！
小早川ってあの……コバマートの……！？","XMESS_0114","網代慎平"
"XMESS_0115","慎平くん、ちょっと顔貸し。
あんまし大声で話すことやないさけ。","XMESS_0115","凸村哲"
"XMESS_0116","あ、はい。","XMESS_0116","網代慎平"
"XMESS_0117","今朝な……
８時になってもコバマート開いてない言うて……。","XMESS_0117","凸村哲"
"XMESS_0118","隣のホレ……
汐見の奥さんが母屋の方のぞいたらやなァ……。","XMESS_0118","凸村哲"
"XMESS_0119","中はもぬけのカラ！","XMESS_0119","凸村哲"
"XMESS_0120","まァあの店……ようけ借金抱えとったみたいやし、
夜逃げかもわからんなァ……！！","XMESS_0120","凸村哲"
"XMESS_0121","と、凸村さんこそ声が大きいですよ！","XMESS_0121","網代慎平"
"XMESS_0122","……っ。","XMESS_0122","小舟澪"
