"source","target","id","developer_comments"
"text#d41d8cd98f00b204e9800998ecf8427e","","text#d41d8cd98f00b204e9800998ecf8427e",""
"text#7633f2a1d092f5f11bec2d4968f7f8cd"," ｵｰﾄｾｰﾌﾞ","text#7633f2a1d092f5f11bec2d4968f7f8cd",""
"text#2551708366d1170ffd646c67f190dec2"," ｸｲｯｸｾｰﾌﾞ","text#2551708366d1170ffd646c67f190dec2",""
"text#c60bcd2bb4788885efc8730249d8b2b9","（10ループ目）","text#c60bcd2bb4788885efc8730249d8b2b9",""
"text#53f2ab4dd9505188c34201d5a9b97e77","【ひとがしま】","text#53f2ab4dd9505188c34201d5a9b97e77",""
"text#edd939caa0b8fb8585ade8593e0c8559","■■■■■■■■文字中央揃え■■■■■■■■","text#edd939caa0b8fb8585ade8593e0c8559",""
"text#39409cbc0198e6c8f9bc9161f7484091","○","text#39409cbc0198e6c8f9bc9161f7484091",""
"text#71f0240b1ebc4340e42d3b031ac9f0b7","1日目　『夕食のカレーをつくるあいうえおか』","text#71f0240b1ebc4340e42d3b031ac9f0b7",""
"text#fcba5c2517e0b9bfa4822cde5146bdb5","20時間52分","text#fcba5c2517e0b9bfa4822cde5146bdb5",""
"text#5bd5d96124e64eab7123e909354ff9d7","４日目　砂利道　深夜の出来事\r","text#5bd5d96124e64eab7123e909354ff9d7",""
"text#4e54835c6e9cf0b901bd7c2ca14cf255","7：相馬テーマ２発生済みか、
  　メイン１０大石、鹿取ルート通過済みの場合を除き、選択可能キャラとして表示","text#4e54835c6e9cf0b901bd7c2ca14cf255",""
"text#e9a46236e9fac4e6dfd083ccca8d1fc1","７月２２日","text#e9a46236e9fac4e6dfd083ccca8d1fc1",""
"text#cf50403b48fee8f0cd18c3df255c8533","8：メイン０９陸奥ルートまたは、
  　メイン１０の三木、中村、富山ルート通過済みの場合を除き、
  　選択可能キャラとして表示","text#cf50403b48fee8f0cd18c3df255c8533",""
"text#5e28a02b3ab42af196cbaa6d1e59f51b","BGM音量","text#5e28a02b3ab42af196cbaa6d1e59f51b",""
"text#becfa1714afa637cafb80df1dca57ac8","CG收集率","text#becfa1714afa637cafb80df1dca57ac8",""
"text#eea1cf2dedf52101c6fc6f66378c6b7a","CG收集率：","text#eea1cf2dedf52101c6fc6f66378c6b7a",""
