"source","target","id","developer_comments"
"XCHAPTITLE_0002","8.波稻的右眼","XCHAPTITLE_0002",""
"XMESS_0000","不要让龙之介的想法白费，
要克服悲伤走向未来。","XMESS_0000",""
"XMESS_0001","那就是最好的未来。","XMESS_0001",""
"XMESS_0002","至少我是这么认为的。","XMESS_0002",""
"XMESS_0003","很普通啊。","XMESS_0003",""
"XMESS_0004","诶？普、普通吗……？","XMESS_0004",""
"XMESS_0005","我明白你的回答了。
已经没有想问的了。","XMESS_0005",""
"XMESS_0006","说完了吗？","XMESS_0006",""
"XMESS_0007","让你久等了。
走吧。","XMESS_0007",""
"XMESS_0008","哦、哦……","XMESS_0008",""
"XMESS_0009","（虽然很在意“普通”这个词……）","XMESS_0009",""
"XMESS_0010","（不过老师接受了我刚才的回答吗？）","XMESS_0010",""
"XMESS_0011","到了镇上之后，
要让大家都知道怪物的事情。
之后还要联系派出所。","XMESS_0011",""
"XMESS_0012","考虑到那些怪物，
进山的人数还是多一些比较好。","XMESS_0012",""
"XMESS_0013","要不就从本土那边请来猎友会……
不，还是叫警察来更好吗？","XMESS_0013",""
"XMESS_0014","…………","XMESS_0014",""
"XMESS_0015","喂，你在听吗？","XMESS_0015",""
"XMESS_0016","嗯，考虑到那些怪物至今为止
都没有被人目击到，
它们可能有避人耳目的倾向。","XMESS_0016",""
"XMESS_0017","啊、啊。
也许是吧……","XMESS_0017",""
"XMESS_0018","日鹤姐……
有什么奇怪的地方吗？","XMESS_0018",""
"XMESS_0019","是啊……
总觉得和刚才的样子有些不一样——","XMESS_0019",""
"XMESS_0020","稻草，对不起啊。","XMESS_0020",""
"XMESS_0021","诶？什、什么……？","XMESS_0021",""
"XMESS_0022","果然我……
想用自己的手开拓未来。","XMESS_0022",""
"XMESS_0023","即使可能会后悔。","XMESS_0023",""
"XMESS_0024","老师……","XMESS_0024",""
"XMESS_0025","这个，请借我一用。","XMESS_0025",""
"XMESS_0026","啊！？
你怎么又随便拔掉别人的小刀！
你想拿这种东西干什么！","XMESS_0026",""
"XMESS_0027","果然我还是不能回到镇上。","XMESS_0027",""
"XMESS_0028","你按照计划去医院就可以了。
被波稻弄出的伤口……
相当疼吧？","XMESS_0028",""
"XMESS_0029","说什么蠢话！
为什么只有我一个人——","XMESS_0029",""
"XMESS_0030","等一下！不能去！","XMESS_0030",""
"XMESS_0031","回来……呜！？","XMESS_0031",""
"XMESS_0032","根津先生，
他肩膀上的伤那么严重吗……","XMESS_0032",""
"XMESS_0033","虽然我也很担心根津先生，
但是现在更重要的是老师！","XMESS_0033",""
"XMESS_0034","快追上去，潮！","XMESS_0034",""
"XMESS_0035","嗯、嗯！","XMESS_0035",""
"XMESS_0036","……是这边吧。","XMESS_0036",""
"XMESS_0037","日鹤姐，
她好像感觉了波稻的气息……！","XMESS_0037",""
"XMESS_0038","直奔波稻那边！","XMESS_0038",""
"XMESS_0039","老师，危险！
请快点回来！","XMESS_0039",""
"XMESS_0040","（老师……把根津先生的刀
　藏在衣服里了吗？）","XMESS_0040",""
"XMESS_0041","（如果老师用那把小刀瞄准波稻的话……）","XMESS_0041",""
"XMESS_0042","就是这里。
这前面就是龙之介被波稻……","XMESS_0042",""
"XMESS_0043","诶……？","XMESS_0043",""
"XMESS_0044","龙之介……不，不是。","XMESS_0044",""
"XMESS_0045","很遗憾，真正的龙之介已经……","XMESS_0045",""
"XMESS_0046","果然应该是波稻吧。","XMESS_0046",""
"XMESS_0047","啊……啊……日鹤……","XMESS_0047",""
"XMESS_0048","这种事情也能做到啊……
和刚才变成蛇袭击的怪物一样。","XMESS_0048",""
"XMESS_0049","日鹤姐！
不能再靠近波稻了！","XMESS_0049",""
"XMESS_0050","南云老师！！","XMESS_0050",""
"XMESS_0051","是稻草吗……
果然还是追上来了啊。","XMESS_0051",""
"XMESS_0052","但是，希望你们默默地看着。
这是波稻和我的问题。","XMESS_0052",""
"XMESS_0053","现在我想和波稻两个人说话。","XMESS_0053",""
"XMESS_0054","老、老师……","XMESS_0054",""
"XMESS_0055","波稻……
你杀了龙之介。","XMESS_0055",""
"XMESS_0056","然后……吃了他。","XMESS_0056",""
"XMESS_0057","啊，呜，啊啊啊啊啊……","XMESS_0057",""
"XMESS_0058","你看起来很痛苦啊。
明明你才是把龙之介变成这样
残忍姿态的罪魁祸首……","XMESS_0058",""
"XMESS_0059","不、不是的……！
不是的——！","XMESS_0059",""
"XMESS_0060","你为什么要哭？","XMESS_0060",""
"XMESS_0061","我不……不知道……！
但是，我没有……！","XMESS_0061",""
"XMESS_0062","…………","XMESS_0062",""
"XMESS_0063","好了，不要再哭了……
你冷静点说吧。","XMESS_0063",""
"XMESS_0064","呜呜……不是……
不是我……！","XMESS_0064",""
"XMESS_0065","那是谁干的？","XMESS_0065",""
"XMESS_0066","这里只有你一个人吧。","XMESS_0066",""
"XMESS_0067","但是……但、但是！","XMESS_0067",""
"XMESS_0068","如果不是波稻就好了。
如果不是的话，该有多好……","XMESS_0068",""
"XMESS_0069","呜呜，不是……！
日、日鹤……我……！","XMESS_0069",""
"XMESS_0070","你真正的想法是什么？
你只是把我的弟弟当成是食物吗？
还是说……","XMESS_0070",""
"XMESS_0071","你想和我弟弟成为朋友吗？","XMESS_0071",""
"XMESS_0072","……成为……朋友。","XMESS_0072",""
"XMESS_0073","这真是个坏心眼的问题啊……","XMESS_0073",""
"XMESS_0074","但是，为什么……
为什么会变成这样！？","XMESS_0074",""
"XMESS_0075","波稻是我重要的朋友！
但是龙之介对我来说也很重要……","XMESS_0075",""
"XMESS_0076","他是我重要的弟弟啊！！","XMESS_0076",""
"XMESS_0077","日……鹤……","XMESS_0077",""
"XMESS_0078","呜、呜呜、呜呜呜呜呜……","XMESS_0078",""
"XMESS_0079","（怎么回事？
　波稻的身体……）","XMESS_0079",""
"XMESS_0080","不对劲！
老师，快离开！","XMESS_0080",""
"XMESS_0081","诶……？","XMESS_0081",""
"XMESS_0082","呜啊啊啊啊啊啊啊啊！！！！","XMESS_0082",""
"XMESS_0083","波稻！？","XMESS_0083",""
"XMESS_0084","嗯……！","XMESS_0084",""
"XMESS_0085","刚……刚刚是怎么回事？","XMESS_0085",""
"XMESS_0086","有什么东西从波稻那里飞了出来……","XMESS_0086",""
"XMESS_0087","进了日鹤姐的身体里！","XMESS_0087",""
"XMESS_0088","……好痛……
好痛……好痛……","XMESS_0088",""
"XMESS_0089","（有什么东西进入老师身体的同时，
　还有别的什么东西从地上……）","XMESS_0089",""
"XMESS_0090","（那是……）","XMESS_0090",""
"XMESS_0091","（眼睛！？是波稻的右眼吗！！）","XMESS_0091",""
"XMESS_0092","咦……难……难道说……","XMESS_0092",""
"XMESS_0093","好痛啊——！！","XMESS_0093",""
"XMESS_0094","哈啊……哈啊……","XMESS_0094",""
"XMESS_0095","……是你吗？","XMESS_0095",""
"XMESS_0096","（被盯上了！？）","XMESS_0096",""
"XMESS_0097","（难道她看到我了吗！？）","XMESS_0097",""
"XMESS_0098","是你……！
是你的错啊——！！","XMESS_0098",""
"XMESS_0099","她、她把自己的右眼捏碎了！？","XMESS_0099",""
"XMESS_0100","怎、怎么回事……？","XMESS_0100",""
"XMESS_0101","好……好痛……好痛……","XMESS_0101",""
"XMESS_0102","（波稻进入了自己的影子里……）","XMESS_0102",""
"XMESS_0103","波稻……？","XMESS_0103",""
"XMESS_0104","波稻的气息……
完全消失了。","XMESS_0104",""
"XMESS_0105","看那个样子，
她是不是再也回不来了？","XMESS_0105",""
"XMESS_0106","既然你这么说，
那就应该是吧……","XMESS_0106",""
"XMESS_0107","嘶嘶、啊……啊。","XMESS_0107",""
"XMESS_0108","！！","XMESS_0108",""
"XMESS_0109","是刚才那群怪物中的一个！？","XMESS_0109",""
"XMESS_0110","对不起，慎平！
它们混在了波稻的气息里，我没有注意到！","XMESS_0110",""
"XMESS_0111","啊……啊、啊……！","XMESS_0111",""
"XMESS_0112","来这边了！！","XMESS_0112",""
"XMESS_0113","老师，用根津先生的小刀
刺那家伙的影子！","XMESS_0113",""
"XMESS_0114","虽然我很想那样做……","XMESS_0114",""
"XMESS_0115","啊……！","XMESS_0115",""
"XMESS_0116","（小刀在那么远的地方！）","XMESS_0116",""
"XMESS_0117","（是她刚才抱着波稻的时候，
　掉下来了吗！？）","XMESS_0117",""
"XMESS_0118","啊啊啊啊啊啊啊！！","XMESS_0118",""
"XMESS_0119","南云老师，快逃！！！！","XMESS_0119",""
"XMESS_0120","姐……姐……","XMESS_0120",""
"XMESS_0121","！！","XMESS_0121",""
"XMESS_0122","啊！？","XMESS_0122",""
"XMESS_0123","老师消失了！？","XMESS_0123",""
"XMESS_0124","慎平，上面！！","XMESS_0124",""
"XMESS_0125","…………","XMESS_0125",""
"XMESS_0126","怎、怎么会到那么高的地方！？","XMESS_0126",""
"XMESS_0127","怎么会有这么强的跳跃力啊！","XMESS_0127",""
"XMESS_0128","啊？","XMESS_0128",""
"XMESS_0129","姐姐……
你怎么……回来了……","XMESS_0129",""
"XMESS_0130","我不是说……让你们快点逃吗……","XMESS_0130",""
"XMESS_0131","……有了。在日鹤姐心中！","XMESS_0131",""
"XMESS_0132","偶尔……
也听一下……我说的话吧。","XMESS_0132",""
"XMESS_0133","啊啊啊啊啊啊啊！！","XMESS_0133",""
"XMESS_0134","但是……真像是姐姐做的事。","XMESS_0134",""
"XMESS_0135","很干脆地把影子打倒了。","XMESS_0135",""
"XMESS_0136","像飞一样的跳跃。
还有从捡起小刀到结束攻击，
一瞬间就完成了……","XMESS_0136",""
"XMESS_0137","那是……","XMESS_0137",""
"XMESS_0138","和我一样……是影子的身体能力……！！","XMESS_0138",""
"XMESS_0139","怎么回事！？
为什么突然变成那样……！","XMESS_0139",""
"XMESS_0140","波稻崩溃了……
龙之介先生的数据进入了日鹤姐的身体！","XMESS_0140",""
"XMESS_0141","那现在……
让老师行动的是……","XMESS_0141",""
"XMESS_0142","影子龙之介！？","XMESS_0142",""
"XMESS_0143","这样……就没问题了吧……","XMESS_0143",""
"XMESS_0144","对不起……姐姐……","XMESS_0144",""
"XMESS_0145","我擅自……用了你的身体……","XMESS_0145",""
"XMESS_0146","——哈！？","XMESS_0146",""
"XMESS_0147","哈……哈……唔！","XMESS_0147",""
"XMESS_0148","老师！？","XMESS_0148",""
"XMESS_0149","不用这么大声……
我只是有点累了……躺下而已。","XMESS_0149",""
"XMESS_0150","没、没事吧？","XMESS_0150",""
"XMESS_0151","刚才发生了什么事……
请告诉我你们看到的情况。","XMESS_0151",""
"XMESS_0152","嗯——概括地说，
龙之介先生的数据进入了日鹤姐的身体中……","XMESS_0152",""
"XMESS_0153","以惊人的身体能力，
把影子……也就是那些怪物打倒了。","XMESS_0153",""
"XMESS_0154","果然……是这样吗。","XMESS_0154",""
"XMESS_0155","龙之介进入我的体内，
打倒了怪物……","XMESS_0155",""
"XMESS_0156","呵呵，简直就是科幻小说。","XMESS_0156",""
"XMESS_0157","诶？","XMESS_0157",""
"XMESS_0158","以家族发生的悲剧为契机，
获得强大的力量与未知的生物战斗……
我的属性是猎人吗？","XMESS_0158",""
"XMESS_0159","现在才刚刚从开头的场景前进了几页。","XMESS_0159",""
"XMESS_0160","战斗还没有结束……现在才是开始。","XMESS_0160",""
"XMESS_0161","日鹤姐，
简直就像知道与影子战斗的未来一样。","XMESS_0161",""
"XMESS_0162","……是啊。","XMESS_0162",""
"XMESS_0163","也许是我创造了“开始”……","XMESS_0163",""
"XMESS_0164","老师……","XMESS_0164",""
"XMESS_0165","“总之要活下去”，
我要是听了你的话就好了。","XMESS_0165",""
"XMESS_0166","那是因为……一些事情……","XMESS_0166",""
"XMESS_0167","但是，太好了。","XMESS_0167",""
"XMESS_0168","谢谢。
你们一直……在我身边。","XMESS_0168",""
"XMESS_0169","我心里非常踏实。","XMESS_0169",""
"XMESS_0170","老师……","XMESS_0170",""
"MSTD_0642-0","“龙之介先生的事我很遗憾。”","MSTD_0642-0",""
"MSTD_0642-1","“这句话拯救了我。”","MSTD_0642-1",""
"XMESS_0171","我还是对龙之介先生的事
感到很遗憾……","XMESS_0171",""
"XMESS_0172","非常感谢……
这句话拯救了我。","XMESS_0172",""
"XMESS_0173","…………","XMESS_0173",""
"XMESS_0174","…………","XMESS_0174",""
