"source","target","id","developer_comments"
"XRETURNTODEATH_0019","第3轮","XRETURNTODEATH_0019",""
"XCHAPTITLE_0027","1.同班同学","XCHAPTITLE_0027",""
"XMESS_0000","联系？
平常的交流倒是没什么关系。","XMESS_0000",""
"XMESS_0001","不是这个意思……
嗯……我、我可能暂时联系不上。","XMESS_0001",""
"XMESS_0002","是吗？","XMESS_0002",""
"XMESS_0003","我稍微有点忙……","XMESS_0003",""
"XMESS_0004","这样啊，那我也不联系你了——","XMESS_0004",""
"XMESS_0005","但是网代君联系我是没关系的！","XMESS_0005",""
"XMESS_0006","诶？但是你说你很忙……","XMESS_0006",""
"XMESS_0007","那是，那个，怎么说呢……","XMESS_0007",""
"XMESS_0008","（对了，小弓场同学好像很在意潮……）","XMESS_0008",""
"XMESS_0009","谢谢。
等一切安定下来我再联系你。","XMESS_0009",""
"XMESS_0010","嗯。","XMESS_0010",""
"XMESS_0011","喂～～～喂！！","XMESS_0011",""
"XMESS_0012","……诶？","XMESS_0012",""
"XMESS_0013","欢迎回来，阿慎！！
长途旅行辛苦了啊啊啊啊啊啊啊！？","XMESS_0013",""
"XMESS_0014","…………！","XMESS_0014",""
"XMESS_0015","（骗人的吧……？）","XMESS_0015",""
"XMESS_0016","（所谓的<color=#GF_TIPS_058>既视感</color>，
　就是这种感觉吗？）","XMESS_0016",""
"XMESS_0017","啊？","XMESS_0017",""
"XMESS_0018","澪！？","XMESS_0018",""
"XMESS_0019","哇！","XMESS_0019",""
"XMESS_0020","澪！
你没事吧！？","XMESS_0020",""
"XMESS_0021","……噗噗噗噗。","XMESS_0021",""
"XMESS_0022","——噗！","XMESS_0022",""
"XMESS_0023","啊、啊哈哈哈……！
对不起阿慎，吓了一跳吧……！","XMESS_0023",""
"XMESS_0024","……你在干什么？","XMESS_0024",""
"XMESS_0025","因、因为我出了点汗……
就想洗个澡！！","XMESS_0025",""
"XMESS_0026","你高兴就好……","XMESS_0026",""
"XMESS_0027","（刚才跌到水里的澪……
　连内裤都是同样的。）","XMESS_0027",""
"XMESS_0028","澪，你好好刹车了吗？","XMESS_0028",""
"XMESS_0029","为什么呢……
虽然我想用力刹车，
但就是停不下来。","XMESS_0029",""
"XMESS_0030","（刹车刹不住……
　难道是自行车故障什么的？）","XMESS_0030",""
"XMESS_0031","…………！？","XMESS_0031",""
"XMESS_0032","（自行车的<color=#GF_TIPS_089>刹车线</color>断了？
　怪不得用不了……）","XMESS_0032",""
"XMESS_0033","（不是自然断了的感觉。
　到底是谁做了这样的事……）","XMESS_0033",""
"XMESS_0034","（总之先把澪拉上来吧。）","XMESS_0034",""
"XMESS_0035","快上来吧。
抓住我的手。","XMESS_0035",""
"XMESS_0036","……谢谢。","XMESS_0036",""
"XMESS_0037","果然很咸啊……海水。","XMESS_0037",""
"XCHAPTITLE_0181","2.被动了手脚的刹车","XCHAPTITLE_0181",""
"XMESS_0038","你们没关系吧……？
看起来没有受伤，真是太好了呢。","XMESS_0038",""
"XMESS_0039","诶？嗯……没事的！","XMESS_0039",""
"XMESS_0040","阿慎，这个人是……？","XMESS_0040",""
"XMESS_0041","你好。
我是小弓场香织。","XMESS_0041",""
"XMESS_0042","好久不见，可以这么说吗？","XMESS_0042",""
"XMESS_0043","小弓场同学……？","XMESS_0043",""
"XMESS_0044","你忘了吧。","XMESS_0044",""
"XMESS_0045","我、我没忘啊！
刚刚、我想起来了……！","XMESS_0045",""
"XMESS_0046","一般来说，
这样就是忘记了。","XMESS_0046",""
"XMESS_0047","没办法啊。
我和小舟同学不同年级。","XMESS_0047",""
"XMESS_0048","年级不同……","XMESS_0048",""
"XMESS_0049","啊！
难道你是姐姐的同学，小弓场学姐？","XMESS_0049",""
"XMESS_0050","太好了。
你还记得我。","XMESS_0050",""
"XMESS_0051","我记得！你的名字是！","XMESS_0051",""
"XMESS_0052","名字……不记得了吗。","XMESS_0052",""
"XMESS_0053","不好意思。
因为是小时候的记忆，
所以记不太清楚了……","XMESS_0053",""
"XMESS_0054","不，没关系！
我才是，让你费心了，对不起。","XMESS_0054",""
"XMESS_0055","话说回来，
你这身湿透的制服怎么办？","XMESS_0055",""
"XMESS_0056","回家后会有替换的制服，
没关系。","XMESS_0056",""
"XMESS_0057","那先回家吧。","XMESS_0057",""
"XMESS_0058","就是这样，小弓场同学。
我们要走了。","XMESS_0058",""
"XMESS_0059","让你手忙脚乱，对不起。
那么再见。","XMESS_0059",""
"XMESS_0060","啊，小舟同学。","XMESS_0060",""
"XMESS_0061","嗯……
等安顿下来之后，我可以去拜访你们吗？","XMESS_0061",""
"XMESS_0062","啊……
好的，我想姐姐也会高兴的。","XMESS_0062",""
"XMESS_0063","那么网代君，再见。","XMESS_0063",""
"XMESS_0064","啊，再见。","XMESS_0064",""
"XMESS_0065","好了……我们也走吧。","XMESS_0065",""
"XMESS_0066","嗯～～………","XMESS_0066",""
"XMESS_0067","你在想什么？","XMESS_0067",""
"XMESS_0068","哎呀……小弓场学姐的脸，
我感觉好像在哪里见过。","XMESS_0068",""
"XMESS_0069","应该是小时候吧，
我们在同一所学校上学。","XMESS_0069",""
"XMESS_0070","话虽如此……
应该是最近……","XMESS_0070",""
"XMESS_0071","…………？","XMESS_0071",""
"XMESS_0072","我也不清楚，总之先回去吧。
艾伦还在等我们。","XMESS_0072",""
"XMESS_0073","是啊。
嗯，回去吧！","XMESS_0073",""
