"source","target","id","developer_comments"
"XCHAPTITLE_0002","5.寻找潜藏的地方","XCHAPTITLE_0002",""
"XMESS_0000","（到这里就没问题了吧……）","XMESS_0000",""
"XMESS_0001","喂，阿慎！
你刚才说的话是真的吗！？","XMESS_0001",""
"XMESS_0002","爸爸真的……变成影子了吗？","XMESS_0002",""
"XMESS_0003","刚才还在说话，
我还以为是爸爸呢。","XMESS_0003",""
"XMESS_0004","影子可以复制人的身影。","XMESS_0004",""
"XMESS_0005","那个人型的黑色斑点，
肯定是影子把人复制消失的痕迹。","XMESS_0005",""
"XMESS_0006","然后……
那个房子里有可能被复制的人，
只有艾伦。","XMESS_0006",""
"XMESS_0007","……怎么会。","XMESS_0007",""
"XMESS_0008","（艾伦……）","XMESS_0008",""
"XMESS_0009","…………","XMESS_0009",""
"XMESS_0010","……澪，你能动吗？","XMESS_0010",""
"XMESS_0011","…………","XMESS_0011",""
"XMESS_0012","总之先去港口看看吧。
轮渡可能已经来了。","XMESS_0012",""
"XMESS_0013","嗯……","XMESS_0013",""
"XMESS_0014","朱鹭子和窗君说不定已经到港口了。","XMESS_0014",""
"XMESS_0015","嗯，绝对已经来的！","XMESS_0015",""
"XMESS_0016","是啊，走吧！","XMESS_0016",""
"XMESS_0017","轮渡……没在啊。","XMESS_0017",""
"XMESS_0018","不只是轮渡没在，
也没有一个人在……","XMESS_0018",""
"XMESS_0019","朱鹭子……窗君……","XMESS_0019",""
"XMESS_0020","…………","XMESS_0020",""
"XMESS_0021","（我不认为所有的生还者都能搭上
　上次出海的那班轮渡。）","XMESS_0021",""
"XMESS_0022","（尽管如此……）","XMESS_0022",""
"XMESS_0023","啊，对了！
在轮渡来之前，
他们是不是躲在哪里了呢？","XMESS_0023",""
"XMESS_0024","在这里的话很显眼啊。","XMESS_0024",""
"XMESS_0025","…………","XMESS_0025",""
"XMESS_0026","（不行……
　脑子里总是闪过坏念头。）","XMESS_0026",""
"XMESS_0027","阿慎？","XMESS_0027",""
"XMESS_0028","你说得没错。
在这么显眼的地方，
就像在说“请袭击我”一样。","XMESS_0028",""
"XMESS_0029","在轮渡来之前，
我们也藏起来吧。","XMESS_0029",""
"XMESS_0030","嗯。","XMESS_0030",""
"XMESS_0031","尽量远离神社，
除了有人住的房子以外，
我们现在能躲起来的地方是……","XMESS_0031",""
"XMESS_0032","灯塔呢？","XMESS_0032",""
"XMESS_0033","这也太远了吧。","XMESS_0033",""
"XMESS_0034","嗯——那学校呢？","XMESS_0034",""
"XMESS_0035","对了，学校！","XMESS_0035",""
"XMESS_0036","（学校里现在应该没有人。
　也有很多可以隐藏的地方！）","XMESS_0036",""
"XMESS_0037","好，决定了。
我们走吧。","XMESS_0037",""
"XMESS_0038","喂，阿慎。
要不要给朱鹭子打电话试试？","XMESS_0038",""
"XMESS_0039","我想自己打来着，
但是发现手机已经没电了。","XMESS_0039",""
"XMESS_0040","啊，知道了。","XMESS_0040",""
"XMESS_0041","果然打不通吗？","XMESS_0041",""
"XMESS_0042","是啊……
打了好几次都打不通。","XMESS_0042",""
"XMESS_0043","不仅仅是朱鹭子妹妹，
我也试着联系了窗……","XMESS_0043",""
"XMESS_0044","不行。
果然都打不通。","XMESS_0044",""
"XMESS_0045","他们两个人的手机可能也没电了。","XMESS_0045",""
"XMESS_0046","啊，该不会是回家了吧？
这样就可以充电了。","XMESS_0046",""
"XMESS_0047","是吗，也有那样的可能性啊。","XMESS_0047",""
"XMESS_0048","（我们也回了一次家。
　窗他们可能也会想同样的事情。）","XMESS_0048",""
"XMESS_0049","（按计划去学校吗？
　还是去窗的家里……）","XMESS_0049",""
"MSTD_0166-0","去菱形医院","MSTD_0166-0",""
"MSTD_0166-1","去学校","MSTD_0166-1",""
"XMESS_0050","是啊。
去菱形医院看看吧。","XMESS_0050",""
"XMESS_0051","……没有反应啊。","XMESS_0051",""
"XMESS_0052","但是灯还开着。","XMESS_0052",""
"XMESS_0053","喂，澪。
菱形医生去参加庆典了吗？","XMESS_0053",""
"XMESS_0054","我想大概没有去。
岛上的医生只有他一个人，
所以他好像很忙。","XMESS_0054",""
"XMESS_0055","是吗……","XMESS_0055",""
"XMESS_0056","（尽管如此，
　按门铃也没有反应……）","XMESS_0056",""
"XMESS_0057","（可能和艾伦一样，
　被变成了影子。）","XMESS_0057",""
