"source","target","id","developer_comments"
"XCHAPTITLE_0002","9.夏日重现","XCHAPTITLE_0002",""
"XCOMMENTVIEW_0015","７月２４日","XCOMMENTVIEW_0015",""
"XMESS_0000","（第二天。
　这是日都岛的一大活动——
　日都夏日庆典举行的日子。）","XMESS_0000",""
"XMESS_0001","（岛上游客蜂拥而至。
　我住的旅馆里也来了很多想要享受乐趣的人，
　真是太吵了。）","XMESS_0001",""
"XMESS_0002","（没办法……
　我还是去别的地方吧。）","XMESS_0002",""
"XMESS_0003","欢迎光临！","XMESS_0003",""
"XMESS_0004","嗨，艾伦。","XMESS_0004",""
"XMESS_0005","哦，是日鹤吗。
你又来了啊。","XMESS_0005",""
"XMESS_0006","啊，日鹤～！","XMESS_0006",""
"XMESS_0007","朝子？
小早商店怎么样了？
你在这边工作吗？","XMESS_0007",""
"XMESS_0008","不是不是。
我只是和诗织一块来吃午饭而已。","XMESS_0008",""
"XMESS_0009","姐姐，你来了吗。","XMESS_0009",""
"XMESS_0010","连龙之介都在吗？
你也吃午饭吗？","XMESS_0010",""
"XMESS_0011","是啊。
小舟的午餐很好吃啊。","XMESS_0011",""
"XMESS_0012","哈哈，谢谢夸奖。","XMESS_0012",""
"XMESS_0013","姐姐，结果你最后也没来我家，
这几天一直住在旅馆吗？","XMESS_0013",""
"XMESS_0014","是啊，好久没放松了。
我休息得很好。","XMESS_0014",""
"XMESS_0015","啊，这样啊。","XMESS_0015",""
"XMESS_0016","姐姐，感觉你变了。
简直就像附体的东西掉了一样。","XMESS_0016",""
"XMESS_0017","附体的东西……吗。
确实可能是那样。","XMESS_0017",""
"XMESS_0018","很久没有像这样，
什么都不想地度过了。
应该已经有好几年了吧。","XMESS_0018",""
"XMESS_0019","啊！？
什么都不想地度过……
日鹤你随时都可以啊。","XMESS_0019",""
"XMESS_0020","嗯，我自己也很意外。","XMESS_0020",""
"XMESS_0021","啊，日鹤！","XMESS_0021",""
"XMESS_0022","嗨，波稻。
前天承蒙你关照了。","XMESS_0022",""
"XMESS_0023","嗯，我关照你了！","XMESS_0023",""
"XMESS_0024","喂，波稻。
不能这么说吧。","XMESS_0024",""
"XMESS_0025","波稻！
好像有点奇怪！
画面变得一闪一闪的了！","XMESS_0025",""
"XMESS_0026","诶？是吗？
给我看看？","XMESS_0026",""
"XMESS_0027","喂、喂，波稻！
别把爸爸的平板电脑弄坏了哦！？","XMESS_0027",""
"XMESS_0028","……真热闹啊。","XMESS_0028",""
"XMESS_0029","对不起，艾伦。
吵吵嚷嚷的。","XMESS_0029",""
"XMESS_0030","这个时间没关系的。
午饭时间也结束了，
店里也安定下来了。","XMESS_0030",""
"XMESS_0031","日鹤要怎么样？
肚子饿了的话，
我给你做点什么吃吧？","XMESS_0031",""
"XMESS_0032","不，给我一杯咖啡就可以了。","XMESS_0032",""
"XMESS_0033","好。
我这就给你准备。","XMESS_0033",""
"XMESS_0034","假期过得愉快吗？
听说你回来还为了给新作取材，
顺利吗？","XMESS_0034",""
"XMESS_0035","嗯，怎么说呢。
说实话，下一部作品的构想还没有确定……","XMESS_0035",""
"XMESS_0036","嗯，总会有办法的。","XMESS_0036",""
"XMESS_0037","妈妈～看一下这个～","XMESS_0037",""
"XMESS_0038","好，好。
那么日鹤，一会再说。","XMESS_0038",""
"XMESS_0039","啊。","XMESS_0039",""
"XMESS_0040","久等了，咖啡放到这里了。","XMESS_0040",""
"XMESS_0041","啊，谢谢。","XMESS_0041",""
"XMESS_0042","艾伦，差不多该给傍晚做准备了。
我来帮你。","XMESS_0042",""
"XMESS_0043","…………！","XMESS_0043",""
"XMESS_0044","那好，谢谢你了……
再休息一会儿也可以吧？
午饭的时候这么多人，有点累了。","XMESS_0044",""
"XMESS_0045","但是今晚是庆典吧？
应该会非常忙，
所以我觉得还是早点行动比较好。","XMESS_0045",""
"XMESS_0046","原来如此。
确实可能会这样。","XMESS_0046",""
