"source","target","id","developer_comments"
"XCHAPTITLE_0036","1.与香织的再会","XCHAPTITLE_0036",""
"XCOMMENTVIEW_0049","７月２２日","XCOMMENTVIEW_0049",""
"XMESS_0000","对不起。
我擅自作出决定，跑去东京……","XMESS_0000",""
"XMESS_0001","我才是……对不起。
没去送你……","XMESS_0001",""
"XMESS_0002","为、为什么要哭成这样啊……？
明明不是这么打算的……","XMESS_0002",""
"XMESS_0003","是最近做的梦的原因吧……！
我梦见再也见不到你了。","XMESS_0003",""
"XMESS_0004","真是个奇怪的梦啊……","XMESS_0004",""
"XMESS_0005","诶……？","XMESS_0005",""
"XMESS_0006","（我觉得我也做了同样的梦……
　但是，这种事有可能吗？）","XMESS_0006",""
"XMESS_0007","到此为止——","XMESS_0007",""
"XMESS_0008","…………啊！？","XMESS_0008",""
"XMESS_0009","姐姐不是说要好好揍一顿阿慎来着？","XMESS_0009",""
"XMESS_0010","是、是这样啊……！！","XMESS_0010",""
"XMESS_0011","……他还是老老实实回来了。
这次就饶了他吧。","XMESS_0011",""
"XMESS_0012","…………","XMESS_0012",""
"XMESS_0013","真的只有这次吗？
其实能见到阿慎你很开心吧？","XMESS_0013",""
"XMESS_0014","你……你说什么呢？
别再说这些奇怪的话了。","XMESS_0014",""
"XMESS_0015","啊～怎么突然感觉肚子饿了。
我先回去了！","XMESS_0015",""
"XMESS_0016","——喂！","XMESS_0016",""
"XMESS_0017","哈，真是不坦率啊……","XMESS_0017",""
"XMESS_0018","我们也回去吧。","XMESS_0018",""
"XMESS_0019","啊……","XMESS_0019",""
"XMESS_0020","阿慎，
你改说普通话了。","XMESS_0020",""
"XMESS_0021","啊，我吗？","XMESS_0021",""
"XMESS_0022","已经完全受那边的影响了呢。","XMESS_0022",""
"XMESS_0023","受影响什么的……
我可不这么觉得。","XMESS_0023",""
"XMESS_0024","哦～慎平君。
欢迎回来。","XMESS_0024",""
"XMESS_0025","啊，谢谢。","XMESS_0025",""
"XMESS_0026","（是岛上商工会的人。
　和他一起的女孩子……是谁呢？）","XMESS_0026",""
"XMESS_0027","（好像不是岛上的居民。
　是游客吗？）","XMESS_0027",""
"XMESS_0028","小澪也和慎平君好久没见了吧。","XMESS_0028",""
"XMESS_0029","嗯，是啊。","XMESS_0029",""
"XMESS_0030","慎平君，你要在这里待到什么时候？
方便的话也来商工会一趟吧。","XMESS_0030",""
"XMESS_0031","好的，如果我有时间的话……","XMESS_0031",""
"XMESS_0032","那个……
难道是……网代君？","XMESS_0032",""
"XMESS_0033","诶……？","XMESS_0033",""
"XMESS_0034","这个人……是谁？","XMESS_0034",""
"XMESS_0035","哎呀慎平君，
你和她认识吗？","XMESS_0035",""
"XMESS_0036","慎平君真是不能小看啊。
竟然和现役偶像是熟人。","XMESS_0036",""
"XMESS_0037","偶像！？","XMESS_0037",""
"XMESS_0038","啊，不，不是的！
算不上是什么熟人！","XMESS_0038",""
"XMESS_0039","网代君，那个……你不记得我了吗？
我们小学的时候是同学……","XMESS_0039",""
"XMESS_0040","诶……？","XMESS_0040",""
"XMESS_0041","（小学时是同学……）","XMESS_0041",""
"XMESS_0042","那、那个，被人盯着看，
我觉得有些不好意思……","XMESS_0042",""
"XMESS_0043","（这个女孩的气质好像在哪里……）","XMESS_0043",""
"XMESS_0044","果然你不记得我了呢。
我们只是在图书馆聊了几句。","XMESS_0044",""
"XMESS_0045","（在图书馆……）","XMESS_0045",""
"XMESS_0046","啊！？
难道说是……小弓场同学！？","XMESS_0046",""
"XMESS_0047","太好了，你还记得我。
没错，我是小弓场香织。","XMESS_0047",""
"XMESS_0048","我小学的时候转校了……
我还以为你已经忘了呢。","XMESS_0048",""
"XMESS_0049","是小学时候的同学吗。
你们还记得彼此啊。","XMESS_0049",""
"XMESS_0050","嗯，是的。
唉……","XMESS_0050",""
"XMESS_0051","（勉强还记得……）","XMESS_0051",""
"XMESS_0052","嗯，这也是某种缘分啊！
慎平君，还有澪，
你们也帮我想想点子吧？","XMESS_0052",""
"XMESS_0053","诶？","XMESS_0053",""
"XMESS_0054","点子？","XMESS_0054",""
"XMESS_0055","小弓场小姐也同意吧？","XMESS_0055",""
"XMESS_0056","诶？啊，是、是啊！
如果你们能来帮忙的话就太好了！","XMESS_0056",""
"XMESS_0057","那、那个。","XMESS_0057",""
"XMESS_0058","完全听不懂你们在说什么……","XMESS_0058",""
"XMESS_0059","详细的事情就由公所的人来告诉你们吧。
好了小澪，慎平君，走吧。","XMESS_0059",""
"XMESS_0060","喂，阿慎。
这是什么展开？","XMESS_0060",""
"XMESS_0061","我才想问呢……","XMESS_0061",""
