"source","target","id","developer_comments"
"XCHAPTITLE_0002","2.无法传达的两个人，能传达的两个人","XCHAPTITLE_0002",""
"XMESS_0000","澪，久等了。","XMESS_0000",""
"XMESS_0001","啊，朱鹭子。","XMESS_0001",""
"XMESS_0002","诶，窗君也来了？","XMESS_0002",""
"XMESS_0003","哟，小澪！
晚上好！","XMESS_0003",""
"XMESS_0004","对不起突然叫你出来。","XMESS_0004",""
"XMESS_0005","没什么。
你们竟然来这里了。","XMESS_0005",""
"XMESS_0006","只要你们跟我说一下要去哪里，
我就会过去的。","XMESS_0006",""
"XMESS_0007","是我把你叫出来的。
当然应该我们来找你。","XMESS_0007",""
"XMESS_0008","但是，为什么连窗君都来了？","XMESS_0008",""
"XMESS_0009","哥哥他偷听了我们的电话，
就跟着过来了。","XMESS_0009",""
"XMESS_0010","哈啊！？","XMESS_0010",""
"XMESS_0011","啊，是吗？","XMESS_0011",""
"XMESS_0012","只、只是碰巧听到而已！
说得好像是我在偷听一样，
我怎么可能做这种事呢！","XMESS_0012",""
"XMESS_0013","而且，大晚上的，
让小澪一个人在外面走也很危险吧？
我觉得还是跟过来比较安心……","XMESS_0013",""
"XMESS_0014","明明都不关心我，真好意思这么说啊。","XMESS_0014",""
"XMESS_0015","没、没那回事！
我也很担心你——","XMESS_0015",""
"XMESS_0016","好了好了。
哥哥就别说话了。
搞得不好说话了。","XMESS_0016",""
"XMESS_0017","对了，你想说什么呢？","XMESS_0017",""
"XMESS_0018","啊……嗯。
我们边走边说吧。","XMESS_0018",""
"XMESS_0019","啊，我倒是没关系。","XMESS_0019",""
"XMESS_0020","其实，慎平哥他——","XMESS_0020",""
"XMESS_0021","那个，小澪！！","XMESS_0021",""
"XMESS_0022","——啊！？","XMESS_0022",""
"XMESS_0023","如果你有烦恼的话可以找我商量！！
所以，有什么话尽管说就好！！","XMESS_0023",""
"XMESS_0024","啊，怎么了？
怎么突然说这些？","XMESS_0024",""
"XMESS_0025","哥哥……
我不是说让你闭嘴吗？","XMESS_0025",""
"XMESS_0026","啊，对不起……一不小心就！","XMESS_0026",""
"XMESS_0027","就算你说有什么烦恼……
我可没有什么烦恼啊？","XMESS_0027",""
"XMESS_0028","…………","XMESS_0028",""
"XMESS_0029","其实，今天慎平哥来问我了。
他说澪的情况很奇怪，
问我是不是发生了什么事……","XMESS_0029",""
"XMESS_0030","啊，阿慎？","XMESS_0030",""
"XMESS_0031","啊，是啊。
他给朱鹭子发了邮件。","XMESS_0031",""
"XMESS_0032","顺便说一下，
哥哥会知道这件事是因为他偷看了我的邮件。","XMESS_0032",""
"XMESS_0033","只、只是碰巧看见而已！
说得好像是我在偷看一样，
我怎么可能做这种事呢！","XMESS_0033",""
"XMESS_0034","不可能一天发生两次偶然。","XMESS_0034",""
"XMESS_0035","…………","XMESS_0035",""
"XMESS_0036","（阿慎给朱鹭子……）","XMESS_0036",""
"XMESS_0037","（我看起来和平时不一样吗？）","XMESS_0037",""
"XMESS_0038","（嗯，至少……
　阿慎是这么认为的吗？）","XMESS_0038",""
"XMESS_0039","啊，小澪。
让你烦恼的事，
难道是指慎平吗？","XMESS_0039",""
"XMESS_0040","…………！","XMESS_0040",""
"XMESS_0041","哥哥！！
怎么突然这么说……","XMESS_0041",""
"XMESS_0042","我只会投直球。
我是个擅长直球的男人。","XMESS_0042",""
"XMESS_0043","不要用这么蠢的借口！","XMESS_0043",""
"XMESS_0044","没关系的，朱鹭子。","XMESS_0044",""
"XMESS_0045","澪……","XMESS_0045",""
"XMESS_0046","倒不如说，我觉得窗君很厉害。","XMESS_0046",""
"XMESS_0047","无论是多么难以启齿的话，
在该说的时候也能说出来。","XMESS_0047",""
"XMESS_0048","谢谢你，小澪。","XMESS_0048",""
"XMESS_0049","……而且，就像窗君说的那样。","XMESS_0049",""
"XMESS_0050","是吗，果然是慎平的事吗。","XMESS_0050",""
"XMESS_0051","小澪，我再说一次。
如果有什么想商量的事，
都尽管和我说。","XMESS_0051",""
"XMESS_0052","把所有的事情都说出来，
心情也会舒畅吧？","XMESS_0052",""
"XMESS_0053","当然，我绝对不会对慎平说的，
放心吧。","XMESS_0053",""
"XMESS_0054","嗯……谢谢。","XMESS_0054",""
"XMESS_0055","好像得画上一些时间呢。
我们去海边说吧。","XMESS_0055",""
"XMESS_0056","好！
什么都可以说哦，小澪！
我会好好地听你说的！","XMESS_0056",""
"XMESS_0057","嗯……","XMESS_0057",""
"XMESS_0058","等等。
哥哥你先去那边吧。","XMESS_0058",""
