"source","target","id","developer_comments"
"XCHAPTITLE_0002","2.影子澪的目标","XCHAPTITLE_0002",""
"XMESS_0000","这个手机的视频是昨天晚上录的……","XMESS_0000",""
"XMESS_0001","…………","XMESS_0001",""
"XMESS_0002","这个时间我在洗澡。
所以这不是我……","XMESS_0002",""
"XMESS_0003","……不行。","XMESS_0003",""
"XMESS_0004","呃……","XMESS_0004",""
"XMESS_0005","不行啊，慎平君。
不能开这种玩笑。","XMESS_0005",""
"XMESS_0006","连菜刀都拿出来可不是闹着玩的啊。
还让澪陪你一起。","XMESS_0006",""
"XMESS_0007","那、那个……","XMESS_0007",""
"XMESS_0008","性质有些恶劣哦。
不要拿这种东西戏弄大人。","XMESS_0008",""
"XMESS_0009","（果然还是不相信我啊……）","XMESS_0009",""
"XMESS_0010","阿慎……","XMESS_0010",""
"XMESS_0011","（不过，先不说这个人，
　至少希望能借助警察的力量……）","XMESS_0011",""
"XMESS_0012","事情就这么多吗？
那么，我差不多该——","XMESS_0012",""
"XMESS_0013","那、那个！
关于昨晚报的警……！","XMESS_0013",""
"XMESS_0014","哦，那个恶作剧啊。
今后别再那样了哦。","XMESS_0014",""
"XMESS_0015","昨晚９点左右……
你不是打算经过小舟前吗？","XMESS_0015",""
"XMESS_0016","……啊？","XMESS_0016",""
"XMESS_0017","确实，
如果昨天你没有报警的话，
晚上９点左右我应该会在小舟前巡逻……","XMESS_0017",""
"XMESS_0018","果然……","XMESS_0018",""
"XMESS_0019","但是，慎平君，
你怎么会知道这种事呢？","XMESS_0019",""
"XMESS_0020","昨天晚上……
那个时候，如果我不报警的话……","XMESS_0020",""
"XMESS_0021","凸村先生说不定被这个假货的澪杀了！","XMESS_0021",""
"XMESS_0022","哈啊啊啊啊！！？？","XMESS_0022",""
"XMESS_0023","等、等等，阿慎！
影子不是来找我的！？","XMESS_0023",""
"XMESS_0024","和自己一样的影子，要杀自己……
“影子病”就是这样的故事吧！？","XMESS_0024",""
"XMESS_0025","冷静一下澪。
虽说只是一种可能性，
但也不是没有可能的事……","XMESS_0025",""
"XMESS_0026","那个影子很明显是想杀了你。
连菜刀都拿出来了。","XMESS_0026",""
"XMESS_0027","如果那样的影子和凸村先生相遇的话……
你觉得会平安无事吗？","XMESS_0027",""
"XMESS_0028","…………！","XMESS_0028",""
"XMESS_0029","（以之前的记忆为基础来考虑的话……
　如果什么都不做的话，
　凸村先生就会被杀，这几乎是肯定的。）","XMESS_0029",""
"XMESS_0030","（但是，现在不能说那种事。
　这才会让他们当成是恶作剧。）","XMESS_0030",""
"XMESS_0031","（死而复生……）","XMESS_0031",""
"XMESS_0032","（关于那个现象，
　还是保持沉默比较好吧。）","XMESS_0032",""
"XMESS_0033","等一下！
“影子病”……喂，是那个吗！？","XMESS_0033",""
"XMESS_0034","看到影子的人会死，那个……","XMESS_0034",""
"XMESS_0035","是的。
那不是迷信，
是真的。","XMESS_0035",""
"XMESS_0036","这个视频就是证据！","XMESS_0036",""
"XMESS_0037","这就是证据……","XMESS_0037",""
"XMESS_0038","（果然，还是不相信我吗……）","XMESS_0038",""
"XMESS_0039","哎呀，那个啊。
信不信，现在都无所谓了。","XMESS_0039",""
"XMESS_0040","诶？","XMESS_0040",""
"XMESS_0041","你再详细地说一下吧。","XMESS_0041",""
"XMESS_0042","听孩子们的话，
也是正义的伙伴的重要工作吧。","XMESS_0042",""
"XMESS_0043","呼……总之，
我明白了慎平君你们的意思。","XMESS_0043",""
"XMESS_0044","这个岛上有小澪的冒牌货……
那家伙是不是很糟糕？","XMESS_0044",""
"XMESS_0045","如果那件事真的发生了，
无论何时何地谁被袭击都不会奇怪……","XMESS_0045",""
"XMESS_0046","……嗯，我明白了！","XMESS_0046",""
"XMESS_0047","那个，你相信……","XMESS_0047",""
"XMESS_0048","相信，我相信。
看了你们两个人认真的样子，
我怎么会怀疑你们呢。","XMESS_0048",""
"XMESS_0049","哲哥！","XMESS_0049",""
"XMESS_0050","交给我吧！
我一下子就解决了！","XMESS_0050",""
"XMESS_0051","（说实话，有点……
　不，是相当靠不住……）","XMESS_0051",""
"XMESS_0052","（但是，能让他相信我真是太感谢了，
　如果能让警察站在这边的话就很安心了。）","XMESS_0052",""
"XMESS_0053","哎呀，刚才的话你听到了吧？
从本土来的应援的刑警会搭乘今天下午的轮渡。
我先和那些人商量一下。","XMESS_0053",""
"XMESS_0054","好、好的，拜托了！
太好了，阿慎。","XMESS_0054",""
"XMESS_0055","是啊……","XMESS_0055",""
"XMESS_0056","但是，那个小澪的影子……
如果它的目标是小澪的话，
为什么不赶紧进家呢？","XMESS_0056",""
"XMESS_0057","啊……那大概是为了
不让人觉得奇怪——","XMESS_0057",""
"XMESS_0058","等一下！","XMESS_0058",""
"XMESS_0059","怎么了？","XMESS_0059",""
"XMESS_0060","难道说，影子真正的目标，
其实是我才对吗？","XMESS_0060",""
"XMESS_0061","诶……？","XMESS_0061",""
"XMESS_0062","为了不从我进入小舟，
在路上埋伏了我——","XMESS_0062",""
"XMESS_0063","因为我是正义的伙伴，优秀的警察——","XMESS_0063",""
"XMESS_0064","嗯，绝对是这样！
一定是那样！","XMESS_0064",""
"XMESS_0065","……我说得没错吧？","XMESS_0065",""
"XMESS_0066","啊，哈哈哈……","XMESS_0066",""
"XMESS_0067","（我想大概没有那样的事……）","XMESS_0067",""
