"source","target","id","developer_comments"
"XCHAPTITLE_0002","12.总是在看","XCHAPTITLE_0002",""
"XMESS_0000","啊啊啊啊啊啊！！！","XMESS_0000",""
"XMESS_0001","——！？","XMESS_0001",""
"XMESS_0002","嗯……！！","XMESS_0002",""
"XMESS_0003","诶……澪、澪？","XMESS_0003",""
"XMESS_0004","哈哈……！","XMESS_0004",""
"XMESS_0005","（澪……被子弹打中了！？）","XMESS_0005",""
"XMESS_0006","澪，你是在保护我吗！？","XMESS_0006",""
"XMESS_0007","……阿、阿慎……你没事吧？","XMESS_0007",""
"XMESS_0008","我的事怎样都好！
快点到我后面……！","XMESS_0008",""
"XMESS_0009","朱鹭子……！
你把小澪……！","XMESS_0009",""
"XMESS_0010","啊、啊，澪、澪……！","XMESS_0010",""
"XMESS_0011","澪的血……血……！
这是……我、我……！？","XMESS_0011",""
"XMESS_0012","朱、朱鹭子……","XMESS_0012",""
"XMESS_0013","（朱鹭子妹妹恢复正常了……）","XMESS_0013",""
"XMESS_0014","（是因为击中澪的打击吗……？）","XMESS_0014",""
"XMESS_0015","……朱鹭子的事……
我是……最明白的……","XMESS_0015",""
"XMESS_0016","所以……
接下来朱鹭子在想什么呢……
我马上……就知道。","XMESS_0016",""
"XMESS_0017","澪、澪——！","XMESS_0017",""
"XMESS_0018","我自作主张了……
对不起，阿慎……","XMESS_0018",""
"XMESS_0019","别在意这些了！
不要再勉强自己说话了！","XMESS_0019",""
"XMESS_0020","突然……就，
冲到了……你前面……","XMESS_0020",""
"XMESS_0021","但是……真不可思议啊……
如果是平时的话……
总是阻止我的朱鹭子……","XMESS_0021",""
"XMESS_0022","竟然做出这种事……
真是……不可思议啊……","XMESS_0022",""
"XMESS_0023","小、小澪！
振作一点啊！！","XMESS_0023",""
"XMESS_0024","不要啊，澪！
不要留下我！！","XMESS_0024",""
"XMESS_0025","对不起，让你伤心了……
最后还能听到朱鹭子的真心话……好高兴啊……","XMESS_0025",""
"XMESS_0026","阿、阿慎……窗君。
朱鹭、子……——","XMESS_0026",""
"XMESS_0027","…………","XMESS_0027",""
"XMESS_0028","澪……？","XMESS_0028",""
"XMESS_0029","澪！骗人的吧，澪！？
睁开眼睛啊，澪——！！","XMESS_0029",""
"XMESS_0030","搞砸了啊，朱鹭子。","XMESS_0030",""
"XMESS_0031","呜啊啊啊……啊！！","XMESS_0031",""
"XMESS_0032","请不要露出那种表情。
又不是我们干的。","XMESS_0032",""
"XMESS_0033","波稻……纸垂……！","XMESS_0033",""
"XMESS_0034","哎呀，小澪很勇敢呢。
捡了条命啊，慎平君。","XMESS_0034",""
"XMESS_0035","但是托你们的福，我看到了好东西。
友情是很珍贵的。","XMESS_0035",""
"XMESS_0036","以好友的死为契机，恢复了理智，
真是令人感动的场景。","XMESS_0036",""
"XMESS_0037","嗯……嗯……啊！！","XMESS_0037",""
"XMESS_0038","哎呀，影子的小澪呢？","XMESS_0038",""
"XMESS_0039","在这里！","XMESS_0039",""
"XMESS_0040","咦，动不了吗。
有人给小澪钉上钉子了。","XMESS_0040",""
"XMESS_0041","好疼……！
再用心点拔出来啊。","XMESS_0041",""
"XMESS_0042","怎么样？","XMESS_0042",""
