"source","target","id","developer_comments"
"XCHAPTITLE_0002","52.蛭子洞","XCHAPTITLE_0002",""
"XCOMMENTVIEW_0013","南方　日鹤","XCOMMENTVIEW_0013",""
"XMESS_0000","可以看到铁栅栏。
前面好像是死胡同。","XMESS_0000",""
"XMESS_0001","影子都是从这里过来的……
这就是它们专用的近路吗。","XMESS_0001",""
"XMESS_0002","这下就明白了。
影子通过下水道之类的地下通道，
在岛上来去自如。","XMESS_0002",""
"XMESS_0003","嗯……而且，这一代的地下
已经被军方挖得乱七八糟的……","XMESS_0003",""
"XMESS_0004","已经没人知道地下通道的全貌了……
这样的近路有多少都不奇怪。","XMESS_0004",""
"XMESS_0005","不过我们怎么办？
手头也没有切断铁栅栏的工具……","XMESS_0005",""
"XMESS_0006","先回到地面上，再找别的入口吗？
从地图上看，我们正好在岛的正中央。","XMESS_0006",""
"XMESS_0007","不……恐怕不会再有别的出入口了。
至少不会有人能通过的出入口……","XMESS_0007",""
"XMESS_0008","看啊。
那前面并不是下水道……
恐怕是自然形成的洞穴。","XMESS_0008",""
"XMESS_0009","……没想到它真的存在啊……“蛭子洞”……","XMESS_0009",""
"XMESS_0010","诶？","XMESS_0010",""
"XMESS_0011","我小时候听爷爷说过……","XMESS_0011",""
"XMESS_0012","日都岛的地下横贯着一个巨大的空洞……
那就是蛭子洞。","XMESS_0012",""
"XMESS_0013","听说明治中期以前，
退潮后码头附近会露出一个入口。","XMESS_0013",""
"XMESS_0014","在甲午战争期间……
军方在整顿港口时把洞口堵上了——","XMESS_0014",""
"XMESS_0015","岛上有这样一个传说……我一直以为这个故事是瞎编的——
相传蛭子洞是很久以前，日都岛的守护神
<color=#GF_TIPS_054>蛭子大人漂流到这个岛上之后住下的地方</color>。","XMESS_0015",""
"XMESS_0016","蛭子的传说啊……
这方面姐姐应该很了解。
要换她吗？","XMESS_0016",""
"XMESS_0017","别！
……现在先不要……","XMESS_0017",""
"XMESS_0018","问问雁切那小子倒是也行……
要是他老爹还活着就好了……
说不定他知道些什么。","XMESS_0018",""
"XMESS_0019","总而言之，
现在需要的是一把锯子。
我们先回去——","XMESS_0019",""
"XMESS_0020","……嘘！
安静一点……","XMESS_0020",""
"XCOMMENTVIEW_0105","小舟　澪","XCOMMENTVIEW_0105",""
"XMESS_0021","我说～还是回去吧！
她怎么可能会在这种地方啊……","XMESS_0021",""
"XMESS_0022","我刚才绝对没看错！！
哲哥也看到了吧！","XMESS_0022",""
"XMESS_0023","啊～真是的……
浑身都是下水道的臭味……
去都之前得先洗个澡了……","XMESS_0023",""
"XMESS_0024","真是的！
我会跟绘里香小姐解释的啦。
说哲哥很可靠！","XMESS_0024",""
"XMESS_0025","诶！
你是说真的吗！？","XMESS_0025",""
"XMESS_0026","……虽然很想这么说，
但是前面好像是死胡同。
有个铁栅栏呢。","XMESS_0026",""
"XMESS_0027","…………","XMESS_0027",""
"XMESS_0028","诗织妹妹！！","XMESS_0028",""
"XMESS_0029","不……！！
喂，等一下，小澪！","XMESS_0029",""
"XMESS_0030","怎么搞的？
她怎么到栅栏那头去了——","XMESS_0030",""
"XMESS_0031","！！","XMESS_0031",""
"XMESS_0032","好刺眼……！？","XMESS_0032",""
"XMESS_0033","啊……！","XMESS_0033",""
"XMESS_0034","刚……刚刚是怎么回事！？
铁栅栏一瞬间就消失了……！？","XMESS_0034",""
"XMESS_0035","…………","XMESS_0035",""
"XMESS_0036","难吃……","XMESS_0036",""
"XMESS_0037","等一下！！
诗织妹妹……！！","XMESS_0037",""
"XMESS_0038","我们……不是在做梦吧……？","XMESS_0038",""
"XMESS_0039","…………！","XMESS_0039",""
"XMESS_0040","啊！？
你要去吗！？小澪！！","XMESS_0040",""
"XMESS_0041","不是吧……！","XMESS_0041",""
"XCOMMENTVIEW_0221","南方　日鹤","XCOMMENTVIEW_0221",""
"XMESS_0042","…………","XMESS_0042",""
"XMESS_0043","……喂，刚刚是……","XMESS_0043",""
"XMESS_0044","是小舟澪小姐……和警察凸村哲吧。
把姐姐误认为是Ｈ杯的……","XMESS_0044",""
"XMESS_0045","不是！！
我说的是，
消除了铁栅栏的那个影子！！！","XMESS_0045",""
"XMESS_0046","……可能说中了啊。
姐姐的那个不祥的预感……","XMESS_0046",""
"XMESS_0047","如果是我就不会追了。
这是陷阱啊。","XMESS_0047",""
"XMESS_0048","不过，至少澪小姐是人类。
她有免疫力了。","XMESS_0048",""
"XMESS_0049","……嘁！
我可不管……前路莫测啊。","XMESS_0049",""
